,name,github_id,description,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,github_release_downloads,monthly_downloads,labels,trending
0,devenv,cachix/devenv,A Nix-based tool for creating developer shell environments quickly and reproducibly.,development,https://github.com/cachix/devenv,https://github.com/cachix/devenv,Apache-2.0,2022-10-22 20:10:10,2025-05-15 13:58:47,2025-05-15 10:45:16,3708,372.0,378.0,27,943.0,358.0,584.0,5143,2025-05-08 12:29:24,1.6.1,30.0,284.0,284.0,213.0,30,True,1,,,,
1,Devbox,jetify-com/devbox,"Instant, portable, and predictable development environments.",development,https://github.com/jetify-com/devbox,https://github.com/jetify-com/devbox,Apache-2.0,2022-08-18 20:27:16,2025-05-15 09:22:55,2025-05-08 23:25:10,1658,35.0,241.0,44,1868.0,352.0,392.0,9812,2025-04-17 20:04:32,0.14.2,100.0,,,86.0,28,True,1,1048740.0,49940.0,,
2,Home Manager,nix-community/home-manager,Manage your user configuration just like NixOS.,nixos-modules,https://github.com/nix-community/home-manager,https://github.com/nix-community/home-manager,MIT,2017-01-14 12:11:06,2025-05-15 18:08:11,2025-05-15 18:07:13,4747,604.0,1999.0,52,4446.0,700.0,1915.0,8036,,,,,,1280.0,26,True,1,,,,
3,nix-installer,DeterminateSystems/nix-installer,Opinionated alternative to the official Nix install scripts.,installation-media,https://github.com/DeterminateSystems/nix-installer,https://github.com/DeterminateSystems/nix-installer,LGPL-2.1,2022-09-02 19:10:48,2025-05-13 01:02:20,2025-05-13 01:02:17,733,36.0,71.0,15,768.0,313.0,469.0,2824,2025-05-13 01:02:20,3.5.2,73.0,3.0,3.0,30.0,24,True,1,887004.0,31678.0,,
4,haskell.nix,input-output-hk/haskell.nix,Alternative Haskell Infrastructure for Nixpkgs.,programming-languages,https://github.com/input-output-hk/haskell.nix,https://github.com/input-output-hk/haskell.nix,Apache-2.0,2018-04-20 16:00:09,2025-05-15 09:09:41,2025-05-15 04:51:13,3784,113.0,236.0,19,1417.0,174.0,766.0,588,2025-04-18 13:11:11,nix-tools-0.3.2,12.0,,,156.0,24,True,1,12194.0,871.0,['haskell'],
5,NixOS-WSL,nix-community/NixOS-WSL,Modules for running NixOS on the Windows Subsystem for Linux.,nixos-modules,https://github.com/nix-community/NixOS-WSL,https://github.com/nix-community/NixOS-WSL,Apache-2.0,2019-12-07 22:29:47,2025-05-05 14:04:05,2025-05-05 13:59:12,586,24.0,141.0,30,374.0,36.0,188.0,2239,2025-02-14 23:50:00,2411.6.0,9.0,,,40.0,23,True,1,51073.0,1001.0,,
6,NUR,nix-community/NUR,Nix User Repositories.,overlays,https://github.com/nix-community/NUR,https://github.com/nix-community/NUR,MIT,2018-02-28 18:49:50,2025-05-15 15:52:35,2025-05-15 15:49:08,31504,1912.0,373.0,18,769.0,26.0,92.0,1479,,,,,,476.0,23,True,1,,,,
7,nix-darwin,nix-darwin/nix-darwin,Manage macOS configuration just like on NixOS.,nixos-modules,https://github.com/nix-darwin/nix-darwin,https://github.com/nix-darwin/nix-darwin,MIT,2016-10-16 14:26:46,2025-05-15 08:28:22,2025-05-15 08:28:21,2150,72.0,509.0,35,765.0,240.0,440.0,3960,,,,,,245.0,22,True,2,,,,
8,NixVim,nix-community/nixvim,A NeoVim distribution built with Nix modules and Nixpkgs.,nixos-modules,https://github.com/nix-community/nixvim,https://github.com/nix-community/nixvim,MIT,2020-12-30 01:08:04,2025-05-15 18:17:21,2025-05-14 12:16:07,3318,379.0,327.0,13,2376.0,113.0,649.0,2171,,,,,,226.0,22,True,2,,,,
9,alejandra,kamadorueda/alejandra,An opinionated Nix code formatter optimized for speed and consistency.,command-line-tools,https://github.com/kamadorueda/alejandra,https://github.com/kamadorueda/alejandra,Unlicense,2022-01-26 22:52:25,2025-04-11 19:40:26,2025-04-11 19:38:48,563,13.0,45.0,7,309.0,54.0,97.0,1084,2025-04-10 22:34:11,4.0.0,19.0,10.0,10.0,24.0,22,True,1,23741.0,608.0,,
