,name,github_id,description,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,contributor_count,projectrank,show,projectrank_placing,new_addition,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,github_release_downloads,monthly_downloads,labels,trending,updated_github_id
0,nixpkgs,NixOS/nixpkgs,Nix Packages collection & NixOS.,discovery,https://github.com/NixOS/nixpkgs,https://github.com/NixOS/nixpkgs,MIT,2012-06-04 02:49:46,2025-06-04 19:17:38,2025-06-04 19:03:38,810918,45241.0,15623.0,274,365442.0,10258.0,37107.0,20683,13142.0,37,True,1,True,,,,,,,,,,
1,devenv,cachix/devenv,A Nix-based tool for creating developer shell environments quickly and reproducibly.,development,https://github.com/cachix/devenv,https://github.com/cachix/devenv,Apache-2.0,2022-10-22 20:10:10,2025-06-04 16:30:52,2025-06-04 16:29:48,3770,383.0,384.0,27,952.0,362.0,592.0,5209,216.0,30,True,1,,2025-05-08 12:29:24,1.6.1,30.0,288.0,288.0,,,,,
2,Devbox,jetify-com/devbox,"Instant, portable, and predictable development environments.",development,https://github.com/jetify-com/devbox,https://github.com/jetify-com/devbox,Apache-2.0,2022-08-18 20:27:16,2025-06-03 17:37:32,2025-06-03 17:37:30,1663,26.0,246.0,44,1874.0,354.0,394.0,9891,86.0,28,True,1,,2025-04-17 20:04:32,0.14.2,100.0,,,1100009.0,50000.0,,,
3,nickel,tweag/nickel,Better configuration for less.,programming-languages,https://github.com/tweag/nickel,https://github.com/tweag/nickel,MIT,2019-01-08 21:43:11,2025-06-04 15:54:16,2025-06-04 14:38:05,4318,54.0,100.0,37,1534.0,122.0,524.0,2609,88.0,28,True,1,True,2025-04-11 12:59:14,1.11.0,22.0,20.0,20.0,125719.0,3223.0,,,
4,Home Manager,nix-community/home-manager,Manage your user configuration just like NixOS.,nixos-modules,https://github.com/nix-community/home-manager,https://github.com/nix-community/home-manager,MIT,2017-01-14 12:11:06,2025-06-04 18:36:30,2025-06-04 18:35:39,4841,594.0,2017.0,51,4540.0,719.0,1941.0,8151,1297.0,27,True,1,,,,,,,,,,,
5,install-nix-action,cachix/install-nix-action,Installs Nix on GitHub Actions for the supported platforms: Linux and macOS.,github-actions,https://github.com/cachix/install-nix-action,https://github.com/cachix/install-nix-action,Apache-2.0,2019-10-02 09:31:59,2025-05-27 10:56:07,2025-05-27 10:18:05,330,23.0,81.0,11,131.0,16.0,93.0,575,32.0,25,True,1,True,2025-05-27 10:39:45,31.4.0,37.0,32932.0,32932.0,,,,,
6,nix-installer,DeterminateSystems/nix-installer,Opinionated alternative to the official Nix install scripts.,installation-media,https://github.com/DeterminateSystems/nix-installer,https://github.com/DeterminateSystems/nix-installer,LGPL-2.1,2022-09-02 19:10:48,2025-06-03 01:30:25,2025-06-03 01:30:17,739,26.0,74.0,15,776.0,315.0,474.0,2882,31.0,24,True,1,,2025-06-03 01:30:25,3.6.2,76.0,3.0,3.0,890588.0,30709.0,,,
7,haskell.nix,input-output-hk/haskell.nix,Alternative Haskell Infrastructure for Nixpkgs.,programming-languages,https://github.com/input-output-hk/haskell.nix,https://github.com/input-output-hk/haskell.nix,Apache-2.0,2018-04-20 16:00:09,2025-06-04 12:49:39,2025-06-04 00:52:09,3821,127.0,237.0,19,1434.0,167.0,778.0,589,157.0,24,True,1,,2025-04-18 13:11:11,nix-tools-0.3.2,12.0,,,12664.0,844.0,['haskell'],,
8,NixOS-WSL,nix-community/NixOS-WSL,Modules for running NixOS on the Windows Subsystem for Linux.,nixos-modules,https://github.com/nix-community/NixOS-WSL,https://github.com/nix-community/NixOS-WSL,Apache-2.0,2019-12-07 22:29:47,2025-05-18 03:25:17,2025-05-05 13:59:12,586,14.0,142.0,29,376.0,36.0,189.0,2284,40.0,23,True,1,,2025-02-14 23:50:00,2411.6.0,9.0,,,52523.0,1010.0,,,
9,NUR,nix-community/NUR,Nix User Repositories.,overlays,https://github.com/nix-community/NUR,https://github.com/nix-community/NUR,MIT,2018-02-28 18:49:50,2025-06-04 19:32:46,2025-06-04 19:29:17,31935,1936.0,383.0,18,780.0,26.0,92.0,1504,484.0,23,True,1,,,,,,,,,,,
10,alejandra,kamadorueda/alejandra,An opinionated Nix code formatter optimized for speed and consistency.,command-line-tools,https://github.com/kamadorueda/alejandra,https://github.com/kamadorueda/alejandra,Unlicense,2022-01-26 22:52:25,2025-06-03 09:16:33,2025-04-11 19:38:48,563,10.0,45.0,7,310.0,56.0,97.0,1114,24.0,23,True,1,,2025-04-10 22:34:11,4.0.0,19.0,10.0,10.0,24466.0,611.0,,,
11,update-flake-lock,DeterminateSystems/update-flake-lock,This is a GitHub Action that updates the flake.lock file for your Nix flake whenever it is run.,github-actions,https://github.com/DeterminateSystems/update-flake-lock,https://github.com/DeterminateSystems/update-flake-lock,MIT,2021-10-18 18:39:57,2025-06-02 18:55:18,2025-06-02 18:55:17,238,79.0,35.0,5,140.0,20.0,28.0,308,26.0,23,True,2,,2025-05-16 13:37:42,25,25.0,2861.0,2861.0,,,,,
12,nix-darwin,nix-darwin/nix-darwin,Manage macOS configuration just like on NixOS.,nixos-modules,https://github.com/nix-darwin/nix-darwin,https://github.com/nix-darwin/nix-darwin,MIT,2016-10-16 14:26:46,2025-06-04 05:12:04,2025-06-04 04:52:25,2195,94.0,515.0,34,793.0,255.0,453.0,4057,247.0,22,True,1,,,,,,,,,,,
13,nix.dev,NixOS/nix.dev,Official documentation for getting things done with Nix.,learning,https://github.com/NixOS/nix.dev,https://github.com/NixOS/nix.dev,CC-BY-SA-4.0,2016-05-04 10:32:21,2025-06-02 00:15:55,2025-06-02 00:15:55,1893,45.0,284.0,38,836.0,120.0,186.0,3101,181.0,22,True,1,True,,,,,,,,,,
14,NixVim,nix-community/nixvim,A NeoVim distribution built with Nix modules and Nixpkgs.,nixos-modules,https://github.com/nix-community/nixvim,https://github.com/nix-community/nixvim,MIT,2020-12-30 01:08:04,2025-06-04 09:14:40,2025-06-04 09:07:48,3409,452.0,327.0,13,2457.0,122.0,653.0,2218,230.0,22,True,1,,,,,,,,,,,
15,poetry2nix,nix-community/poetry2nix,Build Python packages directly from Poetrys `poetry.lock` files.,programming-languages,https://github.com/nix-community/poetry2nix,https://github.com/nix-community/poetry2nix,MIT,2019-06-17 15:26:38,2025-04-03 14:27:04,2025-04-03 14:27:04,3486,12.0,448.0,9,1407.0,170.0,322.0,923,333.0,22,True,1,,2025-03-19 15:29:55,2025.3.1955794,100.0,,,,,['python'],,
16,nix-installer-action,DeterminateSystems/nix-installer-action,"The fast, friendly, and reliable GitHub Action to install Nix with Flakes.",github-actions,https://github.com/DeterminateSystems/nix-installer-action,https://github.com/DeterminateSystems/nix-installer-action,LGPL-2.1,2023-01-13 18:03:12,2025-06-02 20:01:58,2025-06-02 18:59:04,327,60.0,22.0,4,146.0,13.0,25.0,203,14.0,22,True,3,,2025-04-24 11:12:44,17,17.0,6536.0,6536.0,,,,,
17,flox,flox/flox,"Manage and share development environments, package projects, and publish artifacts anywhere.",development,https://github.com/flox/flox,https://github.com/flox/flox,GPL-2.0,2022-12-22 15:52:43,2025-06-04 17:30:46,2025-06-04 16:25:45,3096,505.0,87.0,19,1854.0,303.0,1026.0,3230,46.0,21,True,1,,2025-05-28 19:26:36,1.4.3,41.0,,,20.0,0.0,,,
18,nixos-anywhere,nix-community/nixos-anywhere,Install NixOS everywhere via SSH.,installation-media,https://github.com/nix-community/nixos-anywhere,https://github.com/nix-community/nixos-anywhere,MIT,2022-11-09 12:36:38,2025-06-02 23:28:43,2025-06-02 23:27:15,782,96.0,153.0,17,356.0,59.0,130.0,2211,74.0,21,True,1,,2025-05-20 06:34:54,1.10.0,13.0,,,,,,,
19,nixos-apple-silicon,nix-community/nixos-apple-silicon,Resources to install NixOS bare metal on Apple Silicon Macs.,installation-media,https://github.com/nix-community/nixos-apple-silicon,https://github.com/nix-community/nixos-apple-silicon,MIT,2021-12-14 00:25:40,2025-05-31 02:57:45,2025-05-31 02:44:03,582,44.0,113.0,36,116.0,39.0,151.0,1096,34.0,21,True,1,True,2025-05-31 04:25:56,release-2025-05-30,83.0,,,3065.0,78.0,,,
