,name,github_id,description,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,contributor_count,projectrank,show,projectrank_placing,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,github_release_downloads,monthly_downloads,labels,trending,updated_github_id
0,nixpkgs,NixOS/nixpkgs,Nix Packages collection & NixOS.,discovery,https://github.com/NixOS/nixpkgs,https://github.com/NixOS/nixpkgs,MIT,2012-06-04 02:49:46,2025-06-23 00:30:09,2025-06-23 00:30:09,820157,44719.0,15776.0,272,370118.0,10326.0,37396.0,20861,13277.0,37,True,1,,,,,,,,,,
1,devenv,cachix/devenv,A Nix-based tool for creating developer shell environments quickly and reproducibly.,development,https://github.com/cachix/devenv,https://github.com/cachix/devenv,Apache-2.0,2022-10-22 20:10:10,2025-06-22 18:06:20,2025-06-22 18:06:20,3835,396.0,391.0,27,970.0,364.0,606.0,5262,221.0,30,True,1,2025-05-08 12:29:24,1.6.1,30.0,290.0,290.0,,,,,
2,Devbox,jetify-com/devbox,"Instant, portable, and predictable development environments.",development,https://github.com/jetify-com/devbox,https://github.com/jetify-com/devbox,Apache-2.0,2022-08-18 20:27:16,2025-06-19 23:07:56,2025-06-19 23:07:54,1673,27.0,246.0,44,1881.0,355.0,395.0,10008,86.0,28,True,1,2025-04-17 20:04:32,0.14.2,100.0,,,1138805.0,54228.0,,,
3,nickel,tweag/nickel,Better configuration for less.,programming-languages,https://github.com/tweag/nickel,https://github.com/tweag/nickel,MIT,2019-01-08 21:43:11,2025-06-22 00:16:22,2025-06-19 05:30:46,4327,56.0,101.0,36,1545.0,127.0,524.0,2628,88.0,28,True,1,2025-06-05 07:04:45,1.12.0,23.0,20.0,20.0,133516.0,3423.0,,,
4,Home Manager,nix-community/home-manager,Manage your user configuration just like NixOS.,nixos-modules,https://github.com/nix-community/home-manager,https://github.com/nix-community/home-manager,MIT,2017-01-14 12:11:06,2025-06-22 17:47:29,2025-06-22 17:47:26,4917,523.0,2038.0,51,4607.0,720.0,1965.0,8228,1318.0,27,True,1,,,,,,,,,,
5,install-nix-action,cachix/install-nix-action,Installs Nix on GitHub Actions for the supported platforms: Linux and macOS.,github-actions,https://github.com/cachix/install-nix-action,https://github.com/cachix/install-nix-action,Apache-2.0,2019-10-02 09:31:59,2025-05-27 10:56:07,2025-05-27 10:18:05,330,18.0,82.0,11,131.0,16.0,93.0,581,32.0,25,True,1,2025-05-27 10:39:45,31.4.0,37.0,33230.0,33230.0,,,,,
6,nix-installer,DeterminateSystems/nix-installer,Opinionated alternative to the official Nix install scripts.,installation-media,https://github.com/DeterminateSystems/nix-installer,https://github.com/DeterminateSystems/nix-installer,LGPL-2.1,2022-09-02 19:10:48,2025-06-18 17:17:44,2025-06-18 17:17:42,748,32.0,75.0,15,784.0,322.0,478.0,2919,31.0,24,True,1,2025-06-18 00:42:35,3.6.6,79.0,3.0,3.0,893016.0,30793.0,,,
7,haskell.nix,input-output-hk/haskell.nix,Alternative Haskell Infrastructure for Nixpkgs.,programming-languages,https://github.com/input-output-hk/haskell.nix,https://github.com/input-output-hk/haskell.nix,Apache-2.0,2018-04-20 16:00:09,2025-06-23 00:49:32,2025-06-22 00:51:51,3849,130.0,236.0,19,1446.0,160.0,783.0,591,157.0,24,True,1,2025-06-09 02:20:59,nix-tools-0.3.5,14.0,,,13082.0,872.0,['haskell'],,
8,NixOS-WSL,nix-community/NixOS-WSL,Modules for running NixOS on the Windows Subsystem for Linux.,nixos-modules,https://github.com/nix-community/NixOS-WSL,https://github.com/nix-community/NixOS-WSL,Apache-2.0,2019-12-07 22:29:47,2025-06-19 19:37:14,2025-06-10 16:54:15,594,15.0,143.0,29,383.0,37.0,190.0,2322,43.0,23,True,1,2025-02-14 23:50:00,2411.6.0,9.0,,,53631.0,1031.0,,,
9,NUR,nix-community/NUR,Nix User Repositories.,overlays,https://github.com/nix-community/NUR,https://github.com/nix-community/NUR,MIT,2018-02-28 18:49:50,2025-06-22 23:51:36,2025-06-22 23:48:08,32303,1842.0,391.0,18,794.0,26.0,92.0,1521,490.0,23,True,1,,,,,,,,,,
