,name,github_id,description,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,contributor_count,projectrank,show,projectrank_placing,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,github_release_downloads,monthly_downloads,labels,new_addition,trending,updated_github_id
0,nixpkgs,NixOS/nixpkgs,Nix Packages collection & NixOS.,discovery,https://github.com/NixOS/nixpkgs,https://github.com/NixOS/nixpkgs,MIT,2012-06-04 02:49:46,2025-06-30 00:25:57,2025-06-30 00:05:45,823404,44207.0,15832.0,273,371945.0,10371.0,37529.0,20926,13321.0,37,True,1,,,,,,,,,,,
1,devenv,cachix/devenv,A Nix-based tool for creating developer shell environments quickly and reproducibly.,development,https://github.com/cachix/devenv,https://github.com/cachix/devenv,Apache-2.0,2022-10-22 20:10:10,2025-06-27 18:46:02,2025-06-27 18:09:08,3879,412.0,391.0,26,984.0,369.0,608.0,5275,221.0,30,True,1,2025-05-08 12:29:24,1.6.1,30.0,290.0,290.0,,,,,,
2,Devbox,jetify-com/devbox,"Instant, portable, and predictable development environments.",development,https://github.com/jetify-com/devbox,https://github.com/jetify-com/devbox,Apache-2.0,2022-08-18 20:27:16,2025-06-27 16:34:48,2025-06-19 23:07:54,1673,26.0,248.0,43,1882.0,356.0,395.0,10050,86.0,28,True,1,2025-04-17 20:04:32,0.14.2,100.0,,,1160967.0,55284.0,,,,
3,nickel,tweag/nickel,Better configuration for less.,programming-languages,https://github.com/tweag/nickel,https://github.com/tweag/nickel,MIT,2019-01-08 21:43:11,2025-06-29 00:16:56,2025-06-24 14:58:45,4328,51.0,101.0,35,1546.0,127.0,524.0,2633,88.0,28,True,1,2025-06-25 09:08:52,1.12.2,25.0,20.0,20.0,138058.0,3539.0,,,,
4,Home Manager,nix-community/home-manager,Manage your user configuration just like NixOS.,nixos-modules,https://github.com/nix-community/home-manager,https://github.com/nix-community/home-manager,MIT,2017-01-14 12:11:06,2025-06-29 23:29:13,2025-06-29 23:28:19,4955,524.0,2044.0,51,4633.0,721.0,1977.0,8254,1327.0,27,True,1,,,,,,,,,,,
5,install-nix-action,cachix/install-nix-action,Installs Nix on GitHub Actions for the supported platforms: Linux and macOS.,github-actions,https://github.com/cachix/install-nix-action,https://github.com/cachix/install-nix-action,Apache-2.0,2019-10-02 09:31:59,2025-06-24 16:17:12,2025-06-24 16:13:22,333,19.0,82.0,12,132.0,16.0,94.0,588,32.0,25,True,1,2025-06-24 16:15:56,31.4.1,38.0,33304.0,33304.0,,,,,,
6,nix-installer,DeterminateSystems/nix-installer,Opinionated alternative to the official Nix install scripts.,installation-media,https://github.com/DeterminateSystems/nix-installer,https://github.com/DeterminateSystems/nix-installer,LGPL-2.1,2022-09-02 19:10:48,2025-06-25 18:48:23,2025-06-25 18:48:12,752,34.0,78.0,16,789.0,323.0,478.0,2935,31.0,24,True,1,2025-06-25 18:48:23,3.6.8,81.0,3.0,3.0,894286.0,30837.0,,,,
7,haskell.nix,input-output-hk/haskell.nix,Alternative Haskell Infrastructure for Nixpkgs.,programming-languages,https://github.com/input-output-hk/haskell.nix,https://github.com/input-output-hk/haskell.nix,Apache-2.0,2018-04-20 16:00:09,2025-06-30 00:52:24,2025-06-30 00:52:23,3859,130.0,236.0,18,1447.0,160.0,784.0,592,157.0,24,True,1,2025-06-25 08:28:33,nix-tools-0.3.8,15.0,,,13310.0,887.0,['haskell'],,,
8,patchelf,NixOS/patchelf,A small utility to modify the dynamic linker and RPATH of ELF executables.,command-line-tools,https://github.com/NixOS/patchelf,https://github.com/NixOS/patchelf,GPL-3.0,2011-12-06 21:27:51,2025-03-17 01:25:46,2025-02-15 01:40:35,875,,485.0,79,311.0,118.0,167.0,3901,97.0,23,True,1,2023-04-23 11:37:21,0.18.0,27.0,,,6619563.0,114130.0,,True,,
9,nixos-hardware,NixOS/nixos-hardware,A collection of NixOS modules covering hardware quirks.,nixos-modules,https://github.com/NixOS/nixos-hardware,https://github.com/NixOS/nixos-hardware,CC0-1.0,2016-02-08 10:50:14,2025-06-25 07:48:35,2025-06-25 07:48:35,2280,103.0,742.0,66,1168.0,128.0,217.0,2510,463.0,23,True,1,2021-05-29 08:24:13,mnt-reform2-nitrogen8m-v1,2.0,,,1475.0,30.0,,True,,
