,name,github_id,description,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,contributor_count,projectrank,show,projectrank_placing,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,github_release_downloads,monthly_downloads,trending,labels,updated_github_id,new_addition
0,nixpkgs,NixOS/nixpkgs,Nix Packages collection & NixOS.,discovery,https://github.com/NixOS/nixpkgs,https://github.com/NixOS/nixpkgs,MIT,2012-06-04 02:49:46,2025-07-14 01:20:30,2025-07-14 01:20:30,829976,43747.0,15941.0,273,375509.0,10399.0,37745.0,21051,13393.0,37,True,1,,,,,,,,,,,
1,devenv,cachix/devenv,A Nix-based tool for creating developer shell environments quickly and reproducibly.,development,https://github.com/cachix/devenv,https://github.com/cachix/devenv,Apache-2.0,2022-10-22 20:10:10,2025-07-14 01:21:40,2025-07-14 01:21:32,3970,458.0,395.0,26,1001.0,378.0,624.0,5309,224.0,29,True,1,2025-07-02 17:31:33,1.7,31.0,290.0,290.0,,,,,,
2,Devbox,jetify-com/devbox,"Instant, portable, and predictable development environments.",development,https://github.com/jetify-com/devbox,https://github.com/jetify-com/devbox,Apache-2.0,2022-08-18 20:27:16,2025-07-10 17:03:28,2025-07-09 03:34:41,1683,28.0,251.0,43,1888.0,358.0,397.0,10113,88.0,28,True,1,2025-07-10 19:55:09,0.15.0,100.0,,,1194486.0,54294.0,,,,
3,Home Manager,nix-community/home-manager,Manage your user configuration just like NixOS.,nixos-modules,https://github.com/nix-community/home-manager,https://github.com/nix-community/home-manager,MIT,2017-01-14 12:11:06,2025-07-13 23:36:07,2025-07-13 23:36:07,5074,550.0,2058.0,51,4724.0,691.0,2026.0,8310,1338.0,27,True,1,,,,,,,,,,,
4,nickel,tweag/nickel,Better configuration for less.,programming-languages,https://github.com/tweag/nickel,https://github.com/tweag/nickel,MIT,2019-01-08 21:43:11,2025-07-13 00:16:58,2025-07-04 09:24:55,4333,42.0,102.0,35,1551.0,131.0,524.0,2638,88.0,27,True,1,2025-06-25 09:08:52,1.12.2,25.0,20.0,20.0,143952.0,3598.0,-1.0,,,
5,install-nix-action,cachix/install-nix-action,Installs Nix on GitHub Actions for the supported platforms: Linux and macOS.,github-actions,https://github.com/cachix/install-nix-action,https://github.com/cachix/install-nix-action,Apache-2.0,2019-10-02 09:31:59,2025-07-12 13:34:17,2025-07-12 13:33:23,337,22.0,82.0,12,134.0,16.0,94.0,592,33.0,25,True,1,2025-07-12 13:34:17,31.5.1,40.0,33455.0,33455.0,,,,,,
6,nix-installer,DeterminateSystems/nix-installer,Opinionated alternative to the official Nix install scripts.,installation-media,https://github.com/DeterminateSystems/nix-installer,https://github.com/DeterminateSystems/nix-installer,LGPL-2.1,2022-09-02 19:10:48,2025-07-12 15:48:31,2025-07-12 15:48:22,759,38.0,77.0,16,798.0,328.0,480.0,2974,31.0,24,True,1,2025-07-12 15:48:31,3.8.2,85.0,3.0,3.0,896253.0,29875.0,,,,
7,haskell.nix,input-output-hk/haskell.nix,Alternative Haskell Infrastructure for Nixpkgs.,programming-languages,https://github.com/input-output-hk/haskell.nix,https://github.com/input-output-hk/haskell.nix,Apache-2.0,2018-04-20 16:00:09,2025-07-14 00:51:56,2025-07-14 00:51:56,3881,135.0,236.0,18,1457.0,158.0,792.0,593,157.0,24,True,1,2025-06-25 08:28:33,nix-tools-0.3.8,15.0,,,13789.0,861.0,,['haskell'],,
8,patchelf,NixOS/patchelf,A small utility to modify the dynamic linker and RPATH of ELF executables.,command-line-tools,https://github.com/NixOS/patchelf,https://github.com/NixOS/patchelf,GPL-3.0,2011-12-06 21:27:51,2025-03-17 01:25:46,2025-02-15 01:40:35,875,,487.0,79,311.0,118.0,167.0,3918,97.0,23,True,1,2023-04-23 11:37:21,0.18.0,27.0,,,6779275.0,114902.0,,,,
9,nixos-hardware,NixOS/nixos-hardware,A collection of NixOS modules covering hardware quirks.,nixos-modules,https://github.com/NixOS/nixos-hardware,https://github.com/NixOS/nixos-hardware,CC0-1.0,2016-02-08 10:50:14,2025-07-09 08:31:34,2025-07-09 08:16:00,2309,121.0,750.0,66,1181.0,131.0,219.0,2535,463.0,23,True,1,2021-05-29 08:24:13,mnt-reform2-nitrogen8m-v1,2.0,,,1482.0,29.0,,,,
