,name,github_id,description,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,contributor_count,projectrank,show,projectrank_placing,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,github_release_downloads,monthly_downloads,trending,labels,updated_github_id
0,nixpkgs,NixOS/nixpkgs,Nix Packages collection & NixOS.,discovery,https://github.com/NixOS/nixpkgs,https://github.com/NixOS/nixpkgs,MIT,2012-06-04 02:49:46,2025-08-18 00:12:24,2025-08-18 00:12:24,845989,40999.0,16251.0,273,384341.0,9964.0,38934.0,21493,13616.0,37,True,1,,,,,,,,,,
1,devenv,cachix/devenv,A Nix-based tool for creating developer shell environments quickly and reproducibly.,development,https://github.com/cachix/devenv,https://github.com/cachix/devenv,Apache-2.0,2022-10-22 20:10:10,2025-08-16 14:47:14,2025-08-16 14:47:14,4161,418.0,407.0,25,1049.0,376.0,676.0,5521,232.0,30,True,1,2025-07-28 01:44:04,1.8.1,33.0,290.0,290.0,,,,,
2,Devbox,jetify-com/devbox,"Instant, portable, and predictable development environments.",development,https://github.com/jetify-com/devbox,https://github.com/jetify-com/devbox,Apache-2.0,2022-08-18 20:27:16,2025-08-15 23:53:41,2025-08-15 23:09:59,1692,34.0,257.0,44,1899.0,367.0,403.0,10223,88.0,28,True,1,2025-08-06 21:51:51,0.15.1,100.0,,,1278604.0,58118.0,,,
3,nickel,tweag/nickel,Better configuration for less.,programming-languages,https://github.com/tweag/nickel,https://github.com/tweag/nickel,MIT,2019-01-08 21:43:11,2025-08-17 00:16:33,2025-08-14 12:03:11,4367,56.0,103.0,37,1569.0,134.0,527.0,2662,89.0,28,True,1,2025-06-25 09:08:52,1.12.2,25.0,20.0,20.0,148658.0,3625.0,,,
4,Home Manager,nix-community/home-manager,Manage your user configuration just like NixOS.,nixos-modules,https://github.com/nix-community/home-manager,https://github.com/nix-community/home-manager,MIT,2017-01-14 12:11:06,2025-08-17 14:55:00,2025-08-17 14:55:00,5282,516.0,2094.0,53,4884.0,698.0,2081.0,8500,1374.0,27,True,1,,,,,,,,,,
5,patchelf,NixOS/patchelf,A small utility to modify the dynamic linker and RPATH of ELF executables.,command-line-tools,https://github.com/NixOS/patchelf,https://github.com/NixOS/patchelf,GPL-3.0,2011-12-06 21:27:51,2025-08-13 04:33:58,2025-08-13 03:50:38,974,99.0,491.0,79,327.0,112.0,173.0,3969,99.0,27,True,1,2025-08-13 03:38:12,0.15.5,32.0,,,7190939.0,119848.0,4.0,,
6,install-nix-action,cachix/install-nix-action,Installs Nix on GitHub Actions for the supported platforms: Linux and macOS.,github-actions,https://github.com/cachix/install-nix-action,https://github.com/cachix/install-nix-action,Apache-2.0,2019-10-02 09:31:59,2025-08-14 18:42:18,2025-08-14 18:42:15,343,17.0,84.0,12,137.0,17.0,94.0,607,33.0,25,True,1,2025-07-27 11:59:06,31.5.2,41.0,33839.0,33839.0,,,,,
7,nix-installer,DeterminateSystems/nix-installer,Opinionated alternative to the official Nix install scripts.,installation-media,https://github.com/DeterminateSystems/nix-installer,https://github.com/DeterminateSystems/nix-installer,LGPL-2.1,2022-09-02 19:10:48,2025-08-06 00:43:43,2025-08-04 23:18:49,762,28.0,79.0,16,803.0,341.0,485.0,3067,32.0,24,True,1,2025-08-04 23:18:51,3.8.5,87.0,3.0,3.0,901087.0,29067.0,,,
8,NixOS-WSL,nix-community/NixOS-WSL,Modules for running NixOS on the Windows Subsystem for Linux.,nixos-modules,https://github.com/nix-community/NixOS-WSL,https://github.com/nix-community/NixOS-WSL,Apache-2.0,2019-12-07 22:29:47,2025-08-15 12:35:06,2025-08-15 12:35:05,639,53.0,147.0,28,450.0,35.0,198.0,2419,43.0,24,True,1,2025-08-11 23:21:42,2505.7.0,10.0,,,57470.0,1064.0,2.0,,
9,haskell.nix,input-output-hk/haskell.nix,Alternative Haskell Infrastructure for Nixpkgs.,programming-languages,https://github.com/input-output-hk/haskell.nix,https://github.com/input-output-hk/haskell.nix,Apache-2.0,2018-04-20 16:00:09,2025-08-17 00:51:53,2025-08-17 00:51:53,3923,133.0,240.0,18,1467.0,161.0,798.0,598,160.0,24,True,1,2025-06-25 08:28:33,nix-tools-0.3.8,15.0,,,14481.0,851.0,,['haskell'],
10,nixos-hardware,NixOS/nixos-hardware,A collection of NixOS modules covering hardware quirks.,nixos-modules,https://github.com/NixOS/nixos-hardware,https://github.com/NixOS/nixos-hardware,CC0-1.0,2016-02-08 10:50:14,2025-08-17 10:02:45,2025-08-16 07:44:41,2331,88.0,771.0,64,1213.0,143.0,219.0,2614,466.0,23,True,1,2021-05-29 08:24:13,mnt-reform2-nitrogen8m-v1,2.0,,,1498.0,29.0,,,
11,NUR,nix-community/NUR,Nix User Repositories.,overlays,https://github.com/nix-community/NUR,https://github.com/nix-community/NUR,MIT,2018-02-28 18:49:50,2025-08-17 21:48:45,2025-08-17 21:45:22,33762,2164.0,411.0,18,830.0,28.0,93.0,1593,516.0,23,True,1,,,,,,,,,,
12,treefmt,numtide/treefmt,"One CLI to format the code tree, using formatters such as alejandra, prettier, etc.",command-line-tools,https://github.com/numtide/treefmt,https://github.com/numtide/treefmt,MIT,2020-12-18 10:30:54,2025-08-13 03:45:01,2025-08-11 08:05:22,734,45.0,47.0,13,405.0,51.0,152.0,801,21.0,23,True,1,2025-05-21 12:33:45,2.3.1,28.0,8.0,8.0,20290.0,397.0,,,
13,nix-darwin,nix-darwin/nix-darwin,Manage macOS configuration just like on NixOS.,nixos-modules,https://github.com/nix-darwin/nix-darwin,https://github.com/nix-darwin/nix-darwin,MIT,2016-10-16 14:26:46,2025-08-15 16:42:16,2025-08-15 16:23:30,2231,55.0,541.0,33,829.0,273.0,469.0,4348,257.0,22,True,1,,,,,,,,,,
14,flox,flox/flox,"Manage and share development environments, package projects, and publish artifacts anywhere.",development,https://github.com/flox/flox,https://github.com/flox/flox,GPL-2.0,2022-12-22 15:52:43,2025-08-16 00:35:52,2025-08-15 23:26:14,3569,605.0,94.0,20,2015.0,336.0,1169.0,3351,48.0,22,True,1,2025-08-05 23:12:09,1.6.1,46.0,,,20.0,0.0,,,
15,NixVim,nix-community/nixvim,A NeoVim distribution built with Nix modules and Nixpkgs.,editors-and-ides,https://github.com/nix-community/nixvim,https://github.com/nix-community/nixvim,MIT,2020-12-30 01:08:04,2025-08-17 12:16:38,2025-08-13 14:36:03,3628,280.0,343.0,13,2596.0,142.0,679.0,2344,250.0,22,True,1,,,,,,,,,,
16,Stylix,nix-community/stylix,System-wide colorscheming and typography for NixOS.,theming,https://github.com/nix-community/stylix,https://github.com/nix-community/stylix,MIT,2020-12-21 15:50:00,2025-08-16 21:02:11,2025-08-16 21:02:11,1165,313.0,248.0,12,1192.0,180.0,382.0,1818,152.0,22,True,1,,,,,,,,,,
17,nix-bitcoin,fort-nix/nix-bitcoin,Modules and packages for Bitcoin nodes with higher-layer protocols with an emphasis on security.,nixos-modules,https://github.com/fort-nix/nix-bitcoin,https://github.com/fort-nix/nix-bitcoin,MIT,2018-12-06 16:06:42,2025-08-16 07:28:45,2025-08-16 07:28:38,2154,45.0,114.0,20,587.0,33.0,175.0,567,31.0,22,True,1,2025-07-23 12:39:01,0.0.127,100.0,,,7999.0,142.0,,,
