,name,github_id,description,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,contributor_count,projectrank,show,projectrank_placing,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,github_release_downloads,monthly_downloads,labels,trending,updated_github_id,new_addition
0,nixpkgs,NixOS/nixpkgs,Nix Packages collection & NixOS.,discovery,https://github.com/NixOS/nixpkgs,https://github.com/NixOS/nixpkgs,MIT,2012-06-04 02:49:46,2025-08-24 23:12:52,2025-08-24 23:12:51,851249,42681.0,16312.0,273,386195.0,9897.0,39114.0,21592,13670.0,37,True,1,,,,,,,,,,,
1,devenv,cachix/devenv,A Nix-based tool for creating developer shell environments quickly and reproducibly.,development,https://github.com/cachix/devenv,https://github.com/cachix/devenv,Apache-2.0,2022-10-22 20:10:10,2025-08-24 15:07:44,2025-08-24 15:07:44,4199,449.0,408.0,25,1054.0,387.0,680.0,5565,232.0,30,True,1,2025-08-21 17:25:28,1.8.2,34.0,290.0,290.0,,,,,,
2,Devbox,jetify-com/devbox,"Instant, portable, and predictable development environments.",development,https://github.com/jetify-com/devbox,https://github.com/jetify-com/devbox,Apache-2.0,2022-08-18 20:27:16,2025-08-22 21:53:25,2025-08-22 21:52:04,1694,34.0,258.0,45,1904.0,371.0,405.0,10255,88.0,28,True,1,2025-08-18 20:03:27,0.16.0,100.0,,,1302922.0,59223.0,,,,
3,nickel,tweag/nickel,Better configuration for less.,programming-languages,https://github.com/tweag/nickel,https://github.com/tweag/nickel,MIT,2019-01-08 21:43:11,2025-08-24 00:15:57,2025-08-20 14:56:08,4376,62.0,104.0,37,1573.0,132.0,530.0,2670,89.0,28,True,1,2025-08-18 19:00:32,1.13.0,26.0,20.0,20.0,149322.0,3642.0,,,,
4,Home Manager,nix-community/home-manager,Manage your user configuration just like NixOS.,nixos-modules,https://github.com/nix-community/home-manager,https://github.com/nix-community/home-manager,MIT,2017-01-14 12:11:06,2025-08-24 08:00:58,2025-08-24 08:00:58,5309,517.0,2098.0,53,4904.0,695.0,2087.0,8538,1382.0,27,True,1,,,,,,,,,,,
5,patchelf,NixOS/patchelf,A small utility to modify the dynamic linker and RPATH of ELF executables.,command-line-tools,https://github.com/NixOS/patchelf,https://github.com/NixOS/patchelf,GPL-3.0,2011-12-06 21:27:51,2025-08-21 07:48:45,2025-08-13 03:50:38,974,99.0,489.0,80,329.0,113.0,173.0,3974,99.0,27,True,1,2025-08-13 03:38:12,0.15.5,32.0,,,7272369.0,121206.0,,,,
6,install-nix-action,cachix/install-nix-action,Installs Nix on GitHub Actions for the supported platforms: Linux and macOS.,github-actions,https://github.com/cachix/install-nix-action,https://github.com/cachix/install-nix-action,Apache-2.0,2019-10-02 09:31:59,2025-08-19 15:44:32,2025-08-19 15:44:32,346,19.0,84.0,12,137.0,17.0,94.0,608,34.0,25,True,1,2025-07-27 11:59:06,31.5.2,41.0,33916.0,33916.0,,,,,,
7,nix-installer,DeterminateSystems/nix-installer,Opinionated alternative to the official Nix install scripts.,installation-media,https://github.com/DeterminateSystems/nix-installer,https://github.com/DeterminateSystems/nix-installer,LGPL-2.1,2022-09-02 19:10:48,2025-08-22 18:23:38,2025-08-22 18:23:36,765,27.0,79.0,16,806.0,342.0,486.0,3079,32.0,24,True,1,2025-08-20 19:39:28,3.8.6,88.0,3.0,3.0,902107.0,29100.0,,,,
8,NixOS-WSL,nix-community/NixOS-WSL,Modules for running NixOS on the Windows Subsystem for Linux.,nixos-modules,https://github.com/nix-community/NixOS-WSL,https://github.com/nix-community/NixOS-WSL,Apache-2.0,2019-12-07 22:29:47,2025-08-22 18:42:29,2025-08-15 12:35:05,639,53.0,148.0,28,455.0,36.0,198.0,2427,43.0,24,True,1,2025-08-11 23:21:42,2505.7.0,10.0,,,58018.0,1074.0,,,,
9,haskell.nix,input-output-hk/haskell.nix,Alternative Haskell Infrastructure for Nixpkgs.,programming-languages,https://github.com/input-output-hk/haskell.nix,https://github.com/input-output-hk/haskell.nix,Apache-2.0,2018-04-20 16:00:09,2025-08-24 22:38:06,2025-08-24 00:52:19,3931,122.0,238.0,18,1468.0,163.0,796.0,599,160.0,24,True,1,2025-06-25 08:28:33,nix-tools-0.3.8,15.0,,,14637.0,861.0,['haskell'],,,
