,name,github_id,description,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,contributor_count,projectrank,show,projectrank_placing,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,github_release_downloads,monthly_downloads,labels,trending,updated_github_id,gitlab_id,gitlab_url
0,nixpkgs,NixOS/nixpkgs,Nix Packages collection & NixOS.,discovery,https://github.com/NixOS/nixpkgs,https://github.com/NixOS/nixpkgs,MIT,2012-06-04 02:49:46,2025-09-15 00:14:52,2025-09-15 00:11:59,862019.0,43009.0,16459.0,272.0,392137.0,8739.0,40740.0,21775,13791.0,37,True,1.0,,,,,,,,,,,,
1,devenv,cachix/devenv,A Nix-based tool for creating developer shell environments quickly and reproducibly.,development,https://github.com/cachix/devenv,https://github.com/cachix/devenv,Apache-2.0,2022-10-22 20:10:10,2025-09-14 12:23:21,2025-09-14 12:23:21,4239.0,421.0,415.0,25.0,1065.0,392.0,691.0,5646,234.0,30,True,1.0,2025-08-21 17:25:28,1.8.2,34.0,290.0,290.0,,,,,,,
2,Devbox,jetify-com/devbox,"Instant, portable, and predictable development environments.",development,https://github.com/jetify-com/devbox,https://github.com/jetify-com/devbox,Apache-2.0,2022-08-18 20:27:16,2025-09-12 22:14:24,2025-08-29 13:46:22,1696.0,32.0,261.0,45.0,1909.0,377.0,408.0,10338,88.0,29,True,1.0,2025-08-18 20:03:27,0.16.0,100.0,,,1367580.0,62162.0,,,,,
3,Home Manager,nix-community/home-manager,Manage your user configuration just like NixOS.,nixos-modules,https://github.com/nix-community/home-manager,https://github.com/nix-community/home-manager,MIT,2017-01-14 12:11:06,2025-09-14 03:59:38,2025-09-14 00:32:33,5387.0,491.0,2117.0,53.0,4974.0,691.0,2114.0,8620,1403.0,27,True,1.0,,,,,,,,,,,,
4,patchelf,NixOS/patchelf,A small utility to modify the dynamic linker and RPATH of ELF executables.,command-line-tools,https://github.com/NixOS/patchelf,https://github.com/NixOS/patchelf,GPL-3.0,2011-12-06 21:27:51,2025-08-25 01:44:11,2025-08-13 03:50:38,974.0,99.0,490.0,80.0,330.0,113.0,174.0,3997,99.0,27,True,1.0,2025-08-13 03:38:12,0.15.5,32.0,,,7532585.0,123485.0,,,,,
5,nickel,tweag/nickel,Better configuration for less.,programming-languages,https://github.com/tweag/nickel,https://github.com/tweag/nickel,MIT,2019-01-08 21:43:11,2025-09-14 15:46:00,2025-09-14 15:35:40,4422.0,97.0,105.0,37.0,1588.0,133.0,533.0,2690,89.0,26,True,1.0,2025-08-18 19:00:32,1.13.0,26.0,,,150216.0,3576.0,,,,,
6,install-nix-action,cachix/install-nix-action,Installs Nix on GitHub Actions for the supported platforms: Linux and macOS.,github-actions,https://github.com/cachix/install-nix-action,https://github.com/cachix/install-nix-action,Apache-2.0,2019-10-02 09:31:59,2025-09-12 22:56:38,2025-09-06 10:04:07,353.0,23.0,84.0,12.0,141.0,18.0,95.0,613,34.0,25,True,1.0,2025-09-06 10:10:42,31.6.1,43.0,34091.0,34091.0,,,,,,,
7,nix-installer,DeterminateSystems/nix-installer,Opinionated alternative to the official Nix install scripts.,installation-media,https://github.com/DeterminateSystems/nix-installer,https://github.com/DeterminateSystems/nix-installer,LGPL-2.1,2022-09-02 19:10:48,2025-09-12 19:49:52,2025-09-12 19:48:21,775.0,29.0,82.0,16.0,826.0,352.0,488.0,3124,32.0,24,True,1.0,2025-09-12 19:48:30,3.11.2,95.0,3.0,3.0,906391.0,28324.0,,,,,
8,NixOS-WSL,nix-community/NixOS-WSL,Modules for running NixOS on the Windows Subsystem for Linux.,nixos-modules,https://github.com/nix-community/NixOS-WSL,https://github.com/nix-community/NixOS-WSL,Apache-2.0,2019-12-07 22:29:47,2025-09-13 19:59:48,2025-09-12 10:00:25,647.0,53.0,148.0,27.0,481.0,34.0,201.0,2457,43.0,24,True,1.0,2025-08-11 23:21:42,2505.7.0,10.0,,,59531.0,1082.0,,,,,
9,haskell.nix,input-output-hk/haskell.nix,Alternative Haskell Infrastructure for Nixpkgs.,programming-languages,https://github.com/input-output-hk/haskell.nix,https://github.com/input-output-hk/haskell.nix,Apache-2.0,2018-04-20 16:00:09,2025-09-14 00:51:41,2025-09-14 00:51:41,3953.0,113.0,240.0,19.0,1470.0,166.0,796.0,604,160.0,24,True,1.0,2025-06-25 08:28:33,nix-tools-0.3.8,15.0,,,15000.0,833.0,['haskell'],,,,
