,name,github_id,description,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,contributor_count,projectrank,show,projectrank_placing,trending,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,labels,updated_github_id,gitlab_id,gitlab_url
0,nixpkgs,NixOS/nixpkgs,Nix Packages collection & NixOS.,discovery,https://github.com/NixOS/nixpkgs,https://github.com/NixOS/nixpkgs,MIT,2012-06-04 02:49:46,2025-10-26 23:52:24,2025-10-26 23:48:37,885019.0,46842.0,16801.0,267.0,404285.0,8279.0,42066.0,22211,14048.0,37,True,1,4.0,,,,,,,,,,,
1,Devbox,jetify-com/devbox,"Instant, portable, and predictable development environments.",development,https://github.com/jetify-com/devbox,https://github.com/jetify-com/devbox,Apache-2.0,2022-08-18 20:27:16,2025-10-26 19:00:49,2025-10-26 19:00:49,1711.0,26.0,271.0,42.0,1934.0,381.0,415.0,10525,94.0,29,True,1,,2025-08-18 20:03:27,0.16.0,1523407.0,66235.0,100.0,,,,,,
2,Home Manager,nix-community/home-manager,Manage your user configuration just like NixOS.,nixos-modules,https://github.com/nix-community/home-manager,https://github.com/nix-community/home-manager,MIT,2017-01-14 12:11:06,2025-10-26 21:22:36,2025-10-26 21:21:41,5675.0,516.0,2164.0,49.0,5166.0,713.0,2147.0,8811,1442.0,27,True,1,,,,,,,,,,,,
3,patchelf,NixOS/patchelf,A small utility to modify the dynamic linker and RPATH of ELF executables.,command-line-tools,https://github.com/NixOS/patchelf,https://github.com/NixOS/patchelf,GPL-3.0,2011-12-06 21:27:51,2025-08-25 01:44:11,2025-08-13 03:50:38,974.0,99.0,494.0,75.0,331.0,113.0,174.0,4043,99.0,27,True,1,,2025-08-13 03:38:12,0.15.5,8053198.0,129890.0,32.0,,,,,,
4,nickel,tweag/nickel,Better configuration for less.,programming-languages,https://github.com/tweag/nickel,https://github.com/tweag/nickel,MIT,2019-01-08 21:43:11,2025-10-27 00:03:19,2025-10-24 15:00:33,4532.0,196.0,108.0,32.0,1626.0,134.0,540.0,2728,91.0,27,True,1,1.0,2025-10-02 17:04:30,1.14.0,153036.0,3558.0,27.0,,,,,,
5,NixOS-WSL,nix-community/NixOS-WSL,Modules for running NixOS on the Windows Subsystem for Linux.,nixos-modules,https://github.com/nix-community/NixOS-WSL,https://github.com/nix-community/NixOS-WSL,Apache-2.0,2019-12-07 22:29:47,2025-10-26 03:51:58,2025-10-26 03:50:49,668.0,55.0,151.0,26.0,531.0,34.0,204.0,2532,43.0,26,True,1,,2025-08-11 23:21:42,2505.7.0,62062.0,1108.0,10.0,,,,,,
6,devenv,cachix/devenv,A Nix-based tool for creating developer shell environments quickly and reproducibly.,development,https://github.com/cachix/devenv,https://github.com/cachix/devenv,Apache-2.0,2022-10-22 20:10:10,2025-10-25 21:33:10,2025-10-25 21:33:10,4594.0,523.0,429.0,24.0,1115.0,376.0,747.0,5841,244.0,25,True,1,,2025-10-07 00:04:47,1.10,,,38.0,1.0,1.0,,,,
7,install-nix-action,cachix/install-nix-action,Installs Nix on GitHub Actions for the supported platforms: Linux and macOS.,github-actions,https://github.com/cachix/install-nix-action,https://github.com/cachix/install-nix-action,Apache-2.0,2019-10-02 09:31:59,2025-10-15 07:03:21,2025-10-15 07:01:24,375.0,36.0,86.0,11.0,144.0,16.0,97.0,622,34.0,25,True,1,,2025-10-15 07:02:29,31.8.1,,,47.0,34611.0,34611.0,,,,
8,nix-installer,DeterminateSystems/nix-installer,Opinionated alternative to the official Nix install scripts.,installation-media,https://github.com/DeterminateSystems/nix-installer,https://github.com/DeterminateSystems/nix-installer,LGPL-2.1,2022-09-02 19:10:48,2025-10-25 00:49:44,2025-10-23 21:04:50,777.0,17.0,86.0,14.0,837.0,363.0,490.0,3202,32.0,24,True,1,,2025-10-09 19:39:23,3.11.3,925585.0,28048.0,97.0,3.0,3.0,,,,
9,haskell.nix,input-output-hk/haskell.nix,Alternative Haskell Infrastructure for Nixpkgs.,programming-languages,https://github.com/input-output-hk/haskell.nix,https://github.com/input-output-hk/haskell.nix,Apache-2.0,2018-04-20 16:00:09,2025-10-26 03:50:21,2025-10-26 03:50:20,3998.0,97.0,242.0,18.0,1475.0,167.0,798.0,609,160.0,24,True,1,,2025-06-25 08:28:33,nix-tools-0.3.8,16027.0,843.0,15.0,,,['haskell'],,,
10,nixos-hardware,NixOS/nixos-hardware,A collection of NixOS modules covering hardware quirks.,nixos-modules,https://github.com/NixOS/nixos-hardware,https://github.com/NixOS/nixos-hardware,CC0-1.0,2016-02-08 10:50:14,2025-10-20 11:19:12,2025-10-20 11:03:08,2457.0,129.0,798.0,60.0,1264.0,158.0,225.0,2742,495.0,23,True,1,,2021-05-29 08:24:13,mnt-reform2-nitrogen8m-v1,1538.0,29.0,2.0,,,,,,
11,NUR,nix-community/NUR,Nix User Repositories.,overlays,https://github.com/nix-community/NUR,https://github.com/nix-community/NUR,MIT,2018-02-28 18:49:50,2025-10-26 22:04:23,2025-10-26 22:01:00,35608.0,2379.0,443.0,16.0,889.0,29.0,94.0,1667,548.0,23,True,1,,,,,,,,,,,,
12,treefmt,numtide/treefmt,"One CLI to format the code tree, using formatters such as alejandra, prettier, etc.",command-line-tools,https://github.com/numtide/treefmt,https://github.com/numtide/treefmt,MIT,2020-12-18 10:30:54,2025-10-18 17:18:04,2025-10-18 17:03:02,776.0,45.0,49.0,13.0,423.0,53.0,155.0,852,21.0,23,True,1,,2025-10-18 17:45:57,2.4.0,40463.0,763.0,29.0,8.0,8.0,,,,
13,flox,flox/flox,"Manage and share development environments, package projects, and publish artifacts anywhere.",development,https://github.com/flox/flox,https://github.com/flox/flox,GPL-2.0,2022-12-22 15:52:43,2025-10-26 16:46:07,2025-10-24 14:06:24,3878.0,433.0,101.0,19.0,2128.0,347.0,1208.0,3535,50.0,22,True,1,,2025-10-21 21:22:44,1.7.5,20.0,0.0,52.0,,,,,,
14,NixVim,nix-community/nixvim,A NeoVim distribution built with Nix modules and Nixpkgs.,editors-and-ides,https://github.com/nix-community/nixvim,https://github.com/nix-community/nixvim,MIT,2020-12-30 01:08:04,2025-10-26 23:45:17,2025-10-26 12:54:28,3933.0,345.0,349.0,12.0,2786.0,137.0,724.0,2445,262.0,22,True,1,,,,,,,,,,,,
