,name,github_id,description,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,contributor_count,projectrank,show,projectrank_placing,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,trending,dependent_project_count,github_dependent_project_count,labels,updated_github_id,gitlab_id,gitlab_url
0,nixpkgs,NixOS/nixpkgs,Nix Packages collection & NixOS.,discovery,https://github.com/NixOS/nixpkgs,https://github.com/NixOS/nixpkgs,MIT,2012-06-04 02:49:46,2025-11-24 00:15:18,2025-11-23 23:55:44,901306.0,47980.0,17029.0,267.0,412094.0,8300.0,42594.0,22521,14213.0,37,True,1,,,,,,,,,,,,
1,Devbox,jetify-com/devbox,"Instant, portable, and predictable development environments.",development,https://github.com/jetify-com/devbox,https://github.com/jetify-com/devbox,Apache-2.0,2022-08-18 20:27:16,2025-11-13 00:15:44,2025-11-06 19:09:16,1716.0,21.0,275.0,42.0,1940.0,384.0,417.0,10630,94.0,29,True,1,2025-08-18 20:03:27,0.16.0,1623423.0,67642.0,100.0,,,,,,,
2,Home Manager,nix-community/home-manager,Manage your user configuration just like NixOS.,nixos-modules,https://github.com/nix-community/home-manager,https://github.com/nix-community/home-manager,MIT,2017-01-14 12:11:06,2025-11-23 14:04:53,2025-11-23 14:04:53,5803.0,494.0,2195.0,49.0,5259.0,723.0,2178.0,8938,1465.0,27,True,1,,,,,,,,,,,,
3,nickel,tweag/nickel,Better configuration for less.,programming-languages,https://github.com/tweag/nickel,https://github.com/tweag/nickel,MIT,2019-01-08 21:43:11,2025-11-23 00:16:47,2025-11-20 18:14:45,4789.0,407.0,108.0,32.0,1665.0,135.0,545.0,2749,91.0,27,True,1,2025-10-02 17:04:30,1.14.0,154156.0,3503.0,27.0,,,,,,,
4,NixOS-WSL,nix-community/NixOS-WSL,Modules for running NixOS on the Windows Subsystem for Linux.,nixos-modules,https://github.com/nix-community/NixOS-WSL,https://github.com/nix-community/NixOS-WSL,Apache-2.0,2019-12-07 22:29:47,2025-11-24 00:14:39,2025-11-24 00:13:03,686.0,47.0,152.0,26.0,577.0,37.0,207.0,2588,46.0,26,True,1,2025-08-11 23:21:42,2505.7.0,63652.0,1116.0,10.0,1.0,,,,,,
5,devenv,cachix/devenv,A Nix-based tool for creating developer shell environments quickly and reproducibly.,development,https://github.com/cachix/devenv,https://github.com/cachix/devenv,Apache-2.0,2022-10-22 20:10:10,2025-11-24 00:02:06,2025-11-23 23:13:04,4753.0,553.0,436.0,25.0,1146.0,304.0,846.0,5956,248.0,25,True,1,2025-10-07 00:04:47,1.10,,,38.0,,1.0,1.0,,,,
6,patchelf,NixOS/patchelf,A small utility to modify the dynamic linker and RPATH of ELF executables.,command-line-tools,https://github.com/NixOS/patchelf,https://github.com/NixOS/patchelf,GPL-3.0,2011-12-06 21:27:51,2025-11-11 16:07:55,2025-11-11 16:03:03,981.0,6.0,495.0,75.0,334.0,113.0,175.0,4077,99.0,25,True,1,2025-08-13 03:38:12,0.15.5,8435472.0,133896.0,32.0,,,,,,,
7,install-nix-action,cachix/install-nix-action,Installs Nix on GitHub Actions for the supported platforms: Linux and macOS.,github-actions,https://github.com/cachix/install-nix-action,https://github.com/cachix/install-nix-action,Apache-2.0,2019-10-02 09:31:59,2025-11-21 00:01:04,2025-11-18 12:10:54,382.0,36.0,86.0,11.0,148.0,16.0,97.0,630,34.0,25,True,1,2025-11-14 21:17:22,31.8.4,,,50.0,,34941.0,34941.0,,,,
8,nix-installer,DeterminateSystems/nix-installer,Opinionated alternative to the official Nix install scripts.,installation-media,https://github.com/DeterminateSystems/nix-installer,https://github.com/DeterminateSystems/nix-installer,LGPL-2.1,2022-09-02 19:10:48,2025-11-23 00:04:00,2025-11-19 13:47:35,787.0,22.0,87.0,14.0,848.0,372.0,495.0,3261,32.0,24,True,1,2025-11-19 13:47:44,3.13.2,939401.0,27629.0,100.0,,3.0,3.0,,,,
9,treefmt,numtide/treefmt,"One CLI to format the code tree, using formatters such as alejandra, prettier, etc.",command-line-tools,https://github.com/numtide/treefmt,https://github.com/numtide/treefmt,MIT,2020-12-18 10:30:54,2025-11-20 16:55:18,2025-11-20 16:55:16,783.0,49.0,49.0,13.0,427.0,54.0,156.0,868,21.0,24,True,1,2025-10-18 17:45:57,2.4.0,74623.0,1381.0,29.0,,8.0,8.0,,,,
