,name,github_id,description,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,projectrank,show,projectrank_placing,trending,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,contributor_count,dependent_project_count,github_dependent_project_count,labels,updated_github_id,gitlab_id,gitlab_url
0,nixpkgs,NixOS/nixpkgs,Nix Packages collection & NixOS.,discovery,https://github.com/NixOS/nixpkgs,https://github.com/NixOS/nixpkgs,MIT,2012-06-04 02:49:46,2026-01-12 00:17:41,2026-01-12 00:05:27,926166.0,46643.0,17421.0,271.0,425853.0,8399.0,43507.0,23031,33,True,1,-4.0,,,,,,,,,,,,
1,Devbox,jetify-com/devbox,"Instant, portable, and predictable development environments.",development,https://github.com/jetify-com/devbox,https://github.com/jetify-com/devbox,Apache-2.0,2022-08-18 20:27:16,2026-01-08 09:21:48,2025-12-17 16:54:18,1718.0,13.0,286.0,42.0,1943.0,391.0,422.0,11129,29,True,1,,2025-08-18 20:03:27,0.16.0,1741645.0,66986.0,100.0,94.0,,,,,,
2,Home Manager,nix-community/home-manager,Manage your user configuration just like NixOS.,nixos-modules,https://github.com/nix-community/home-manager,https://github.com/nix-community/home-manager,MIT,2017-01-14 12:11:06,2026-01-10 18:06:49,2026-01-10 18:06:42,6070.0,476.0,2247.0,50.0,5505.0,679.0,2309.0,9184,27,True,1,,,,,,,1506.0,,,,,,
3,nickel,tweag/nickel,Better configuration for less.,programming-languages,https://github.com/tweag/nickel,https://github.com/tweag/nickel,MIT,2019-01-08 21:43:11,2026-01-09 21:44:16,2026-01-07 23:08:44,4937.0,434.0,108.0,30.0,1706.0,135.0,552.0,2808,27,True,1,,2025-12-11 22:41:35,1.15.1,156232.0,3396.0,28.0,92.0,,,,,,
4,devenv,cachix/devenv,A Nix-based tool for creating developer shell environments quickly and reproducibly.,development,https://github.com/cachix/devenv,https://github.com/cachix/devenv,Apache-2.0,2022-10-22 20:10:10,2026-01-11 13:13:20,2026-01-11 12:08:08,5169.0,667.0,445.0,25.0,1194.0,300.0,891.0,6158,26,True,1,,2025-11-27 17:34:14,1.11.2,,,41.0,253.0,1.0,1.0,,,,
5,NixOS-WSL,nix-community/NixOS-WSL,Modules for running NixOS on the Windows Subsystem for Linux.,nixos-modules,https://github.com/nix-community/NixOS-WSL,https://github.com/nix-community/NixOS-WSL,Apache-2.0,2019-12-07 22:29:47,2026-01-05 02:05:20,2025-12-15 23:23:34,707.0,47.0,152.0,25.0,632.0,36.0,212.0,2668,26,True,1,,2025-08-11 23:21:42,2505.7.0,66670.0,1130.0,10.0,46.0,,,,,,
6,patchelf,NixOS/patchelf,A small utility to modify the dynamic linker and RPATH of ELF executables.,command-line-tools,https://github.com/NixOS/patchelf,https://github.com/NixOS/patchelf,GPL-3.0,2011-12-06 21:27:51,2025-12-15 01:02:35,2025-11-11 16:03:03,981.0,6.0,500.0,75.0,339.0,114.0,175.0,4118,25,True,1,,2025-08-13 03:38:12,0.15.5,8994153.0,138371.0,32.0,99.0,,,,,,
7,install-nix-action,cachix/install-nix-action,Installs Nix on GitHub Actions for the supported platforms: Linux and macOS.,github-actions,https://github.com/cachix/install-nix-action,https://github.com/cachix/install-nix-action,Apache-2.0,2019-10-02 09:31:59,2025-12-28 17:34:29,2025-12-11 15:19:38,388.0,15.0,87.0,10.0,150.0,16.0,98.0,645,25,True,1,,2025-12-11 15:22:09,31.9.0,,,51.0,34.0,35752.0,35752.0,,,,
8,nix-installer,DeterminateSystems/nix-installer,Opinionated alternative to the official Nix install scripts.,installation-media,https://github.com/DeterminateSystems/nix-installer,https://github.com/DeterminateSystems/nix-installer,LGPL-2.1,2022-09-02 19:10:48,2026-01-11 00:04:03,2025-12-24 04:31:04,794.0,18.0,92.0,13.0,857.0,381.0,500.0,3371,24,True,1,,2025-12-24 04:31:09,3.15.1,972493.0,27785.0,100.0,34.0,3.0,3.0,,,,
9,nixos-hardware,NixOS/nixos-hardware,A collection of NixOS modules covering hardware quirks.,nixos-modules,https://github.com/NixOS/nixos-hardware,https://github.com/NixOS/nixos-hardware,CC0-1.0,2016-02-08 10:50:14,2026-01-11 09:04:54,2025-12-31 12:48:04,2557.0,100.0,836.0,62.0,1321.0,169.0,231.0,2880,23,True,1,,2021-05-29 08:24:13,mnt-reform2-nitrogen8m-v1,1587.0,28.0,2.0,511.0,,,,,,
