,name,github_id,description,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,projectrank,show,projectrank_placing,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,contributor_count,trending,updated_github_id,dependent_project_count,github_dependent_project_count,labels,new_addition,gitlab_id,gitlab_url
0,nixpkgs,NixOS/nixpkgs,Nix Packages collection & NixOS.,discovery,https://github.com/NixOS/nixpkgs,https://github.com/NixOS/nixpkgs,MIT,2012-06-04 02:49:46,2026-01-26 00:10:56,2026-01-26 00:05:49,934719.0,46916.0,17553.0,272.0,430104.0,8507.0,43778.0,23202,33,True,1,,,,,,,,,,,,,,
1,Devbox,jetify-com/devbox,"Instant, portable, and predictable development environments.",development,https://github.com/jetify-com/devbox,https://github.com/jetify-com/devbox,Apache-2.0,2022-08-18 20:27:16,2026-01-23 21:41:14,2026-01-23 21:41:10,1721.0,9.0,289.0,43.0,1945.0,391.0,428.0,11192,28,True,1,2025-08-18 20:03:27,0.16.0,1786733.0,68720.0,100.0,96.0,-1.0,,,,,,,
2,Home Manager,nix-community/home-manager,Manage your user configuration just like NixOS.,nixos-modules,https://github.com/nix-community/home-manager,https://github.com/nix-community/home-manager,MIT,2017-01-14 12:11:06,2026-01-25 22:56:02,2026-01-25 22:56:02,6152.0,470.0,2264.0,50.0,5577.0,686.0,2334.0,9272,27,True,1,,,,,,1522.0,,,,,,,,
3,nickel,tweag/nickel,Better configuration for less.,programming-languages,https://github.com/nickel-lang/nickel,https://github.com/nickel-lang/nickel,MIT,2019-01-08 21:43:11,2026-01-26 00:04:17,2026-01-25 22:27:55,4939.0,399.0,109.0,29.0,1711.0,137.0,552.0,2815,27,True,1,2025-12-11 22:41:35,1.15.1,156638.0,3405.0,28.0,93.0,,nickel-lang/nickel,,,,,,
4,devenv,cachix/devenv,A Nix-based tool for creating developer shell environments quickly and reproducibly.,development,https://github.com/cachix/devenv,https://github.com/cachix/devenv,Apache-2.0,2022-10-22 20:10:10,2026-01-24 14:00:19,2026-01-24 14:00:14,5263.0,635.0,452.0,25.0,1212.0,312.0,902.0,6215,26,True,1,2025-11-27 17:34:14,1.11.2,,,41.0,254.0,,,1.0,1.0,,,,
5,NixOS-WSL,nix-community/NixOS-WSL,Modules for running NixOS on the Windows Subsystem for Linux.,nixos-modules,https://github.com/nix-community/NixOS-WSL,https://github.com/nix-community/NixOS-WSL,Apache-2.0,2019-12-07 22:29:47,2026-01-24 01:24:25,2026-01-24 01:24:23,717.0,48.0,153.0,25.0,641.0,37.0,215.0,2698,26,True,1,2025-08-11 23:21:42,2505.7.0,67572.0,1145.0,10.0,48.0,,,,,,,,
6,patchelf,NixOS/patchelf,A small utility to modify the dynamic linker and RPATH of ELF executables.,command-line-tools,https://github.com/NixOS/patchelf,https://github.com/NixOS/patchelf,GPL-3.0,2011-12-06 21:27:51,2025-12-15 01:02:35,2025-11-11 16:03:03,981.0,4.0,502.0,75.0,340.0,114.0,175.0,4135,25,True,1,2025-08-13 03:38:12,0.15.5,9165099.0,141001.0,32.0,99.0,,,,,,,,
7,install-nix-action,cachix/install-nix-action,Installs Nix on GitHub Actions for the supported platforms: Linux and macOS.,github-actions,https://github.com/cachix/install-nix-action,https://github.com/cachix/install-nix-action,Apache-2.0,2019-10-02 09:31:59,2026-01-16 03:07:52,2025-12-11 15:19:38,388.0,13.0,87.0,10.0,151.0,16.0,98.0,647,25,True,1,2025-12-11 15:22:09,31.9.0,,,51.0,34.0,,,35952.0,35952.0,,,,
8,nix-installer,DeterminateSystems/nix-installer,Opinionated alternative to the official Nix install scripts.,installation-media,https://github.com/DeterminateSystems/nix-installer,https://github.com/DeterminateSystems/nix-installer,LGPL-2.1,2022-09-02 19:10:48,2026-01-25 00:03:56,2026-01-21 03:23:36,798.0,21.0,91.0,13.0,861.0,381.0,505.0,3403,24,True,1,2026-01-21 03:23:44,3.15.2,992049.0,29177.0,100.0,34.0,,,3.0,3.0,,,,
9,nixos-hardware,NixOS/nixos-hardware,A collection of NixOS modules covering hardware quirks.,nixos-modules,https://github.com/NixOS/nixos-hardware,https://github.com/NixOS/nixos-hardware,CC0-1.0,2016-02-08 10:50:14,2026-01-25 01:02:32,2026-01-25 00:48:57,2580.0,119.0,847.0,62.0,1334.0,173.0,232.0,2901,23,True,1,2021-05-29 08:24:13,mnt-reform2-nitrogen8m-v1,1597.0,28.0,2.0,514.0,,,,,,,,
