,name,github_id,description,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,projectrank,show,projectrank_placing,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,contributor_count,updated_github_id,dependent_project_count,github_dependent_project_count,labels,trending,gitlab_id,gitlab_url
0,nixpkgs,NixOS/nixpkgs,Nix Packages collection & NixOS.,discovery,https://github.com/NixOS/nixpkgs,https://github.com/NixOS/nixpkgs,MIT,2012-06-04 02:49:46,2026-02-02 00:20:18,2026-02-02 00:15:14,938695.0,47056.0,17604.0,271.0,432263.0,8518.0,43897.0,23285,33,True,1,,,,,,,,,,,,,
1,Devbox,jetify-com/devbox,"Instant, portable, and predictable development environments.",development,https://github.com/jetify-com/devbox,https://github.com/jetify-com/devbox,Apache-2.0,2022-08-18 20:27:16,2026-01-29 09:22:51,2026-01-28 16:50:57,1722.0,8.0,291.0,43.0,1948.0,389.0,430.0,11222,27,True,1,2025-08-18 20:03:27,0.16.0,1811010.0,67074.0,100.0,96.0,,,,,,,
2,Home Manager,nix-community/home-manager,Manage your user configuration just like NixOS.,nixos-modules,https://github.com/nix-community/home-manager,https://github.com/nix-community/home-manager,MIT,2017-01-14 12:11:06,2026-02-01 20:39:55,2026-02-01 20:39:55,6183.0,445.0,2267.0,50.0,5605.0,669.0,2357.0,9298,27,True,1,,,,,,1534.0,,,,,,,
3,nickel,tweag/nickel,Better configuration for less.,programming-languages,https://github.com/nickel-lang/nickel,https://github.com/nickel-lang/nickel,MIT,2019-01-08 21:43:11,2026-02-02 00:04:10,2026-01-28 22:40:56,4961.0,249.0,109.0,28.0,1714.0,138.0,554.0,2820,27,True,1,2025-12-11 22:41:35,1.15.1,156907.0,3338.0,28.0,93.0,nickel-lang/nickel,,,,,,
4,devenv,cachix/devenv,A Nix-based tool for creating developer shell environments quickly and reproducibly.,development,https://github.com/cachix/devenv,https://github.com/cachix/devenv,Apache-2.0,2022-10-22 20:10:10,2026-02-01 20:26:19,2026-02-01 20:17:49,5316.0,647.0,454.0,25.0,1217.0,305.0,917.0,6248,26,True,1,2025-11-27 17:34:14,1.11.2,,,41.0,254.0,,1.0,1.0,,,,
5,NixOS-WSL,nix-community/NixOS-WSL,Modules for running NixOS on the Windows Subsystem for Linux.,nixos-modules,https://github.com/nix-community/NixOS-WSL,https://github.com/nix-community/NixOS-WSL,Apache-2.0,2019-12-07 22:29:47,2026-01-26 00:44:03,2026-01-24 01:24:23,717.0,46.0,153.0,25.0,645.0,37.0,215.0,2713,25,True,1,2025-08-11 23:21:42,2505.7.0,67993.0,1133.0,10.0,48.0,,,,,,,
6,install-nix-action,cachix/install-nix-action,Installs Nix on GitHub Actions for the supported platforms: Linux and macOS.,github-actions,https://github.com/cachix/install-nix-action,https://github.com/cachix/install-nix-action,Apache-2.0,2019-10-02 09:31:59,2026-01-16 03:07:52,2025-12-11 15:19:38,388.0,11.0,87.0,10.0,151.0,16.0,98.0,649,25,True,1,2025-12-11 15:22:09,31.9.0,,,51.0,34.0,,36061.0,36061.0,,,,
7,patchelf,NixOS/patchelf,A small utility to modify the dynamic linker and RPATH of ELF executables.,command-line-tools,https://github.com/NixOS/patchelf,https://github.com/NixOS/patchelf,GPL-3.0,2011-12-06 21:27:51,2025-12-15 01:02:35,2025-11-11 16:03:03,981.0,4.0,503.0,75.0,341.0,114.0,175.0,4143,24,True,1,2025-08-13 03:38:12,0.15.5,9252220.0,140185.0,32.0,99.0,,,,,,,
8,nix-installer,DeterminateSystems/nix-installer,Opinionated alternative to the official Nix install scripts.,installation-media,https://github.com/DeterminateSystems/nix-installer,https://github.com/DeterminateSystems/nix-installer,LGPL-2.1,2022-09-02 19:10:48,2026-02-01 00:04:29,2026-01-21 03:23:36,798.0,21.0,91.0,13.0,861.0,384.0,506.0,3407,24,True,1,2026-01-21 03:23:44,3.15.2,1000319.0,28580.0,100.0,34.0,,3.0,3.0,,,,
9,haskell.nix,input-output-hk/haskell.nix,Alternative Haskell Infrastructure for Nixpkgs.,programming-languages,https://github.com/input-output-hk/haskell.nix,https://github.com/input-output-hk/haskell.nix,Apache-2.0,2018-04-20 16:00:09,2026-02-01 23:15:06,2026-02-01 01:03:06,4110.0,103.0,248.0,18.0,1498.0,166.0,805.0,620,24,True,1,2026-01-29 03:17:56,nix-tools-0.4.1,18636.0,810.0,16.0,163.0,,,,['haskell'],1.0,,
