,name,github_id,description,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,projectrank,show,projectrank_placing,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,contributor_count,dependent_project_count,github_dependent_project_count,trending,updated_github_id,labels,new_addition,gitlab_id,gitlab_url
0,nixpkgs,NixOS/nixpkgs,Nix Packages collection & NixOS.,discovery,https://github.com/NixOS/nixpkgs,https://github.com/NixOS/nixpkgs,MIT,2012-06-04 02:49:46,2026-03-02 00:17:22,2026-03-02 00:05:27,956870.0,49782.0,17873.0,275.0,440907.0,8730.0,44598.0,23651,33,True,1,,,,,,,,,,,,,,
1,Devbox,jetify-com/devbox,"Instant, portable, and predictable development environments.",development,https://github.com/jetify-com/devbox,https://github.com/jetify-com/devbox,Apache-2.0,2022-08-18 20:27:16,2026-02-27 01:20:36,2026-02-26 17:19:43,1733.0,17.0,299.0,43.0,1958.0,391.0,434.0,11335,28,True,1,2025-08-18 20:03:27,0.16.0,1917545.0,71020.0,100.0,100.0,,,,,,,,
2,Home Manager,nix-community/home-manager,Manage your user configuration just like NixOS.,nixos-modules,https://github.com/nix-community/home-manager,https://github.com/nix-community/home-manager,MIT,2017-01-14 12:11:06,2026-03-01 19:00:39,2026-03-01 15:54:21,6317.0,463.0,2288.0,50.0,5717.0,676.0,2388.0,9425,27,True,1,,,,,,1555.0,,,,,,,,
3,devenv,cachix/devenv,A Nix-based tool for creating developer shell environments quickly and reproducibly.,development,https://github.com/cachix/devenv,https://github.com/cachix/devenv,Apache-2.0,2022-10-22 20:10:10,2026-03-02 00:12:36,2026-03-02 00:10:24,5744.0,891.0,463.0,26.0,1240.0,317.0,970.0,6357,27,True,1,2025-11-27 17:34:14,1.11.2,,,41.0,258.0,1.0,1.0,1.0,,,,,
4,nickel,tweag/nickel,Better configuration for less.,programming-languages,https://github.com/nickel-lang/nickel,https://github.com/nickel-lang/nickel,MIT,2019-01-08 21:43:11,2026-02-27 14:29:16,2026-02-27 13:58:09,5005.0,168.0,110.0,26.0,1733.0,139.0,558.0,2851,26,True,1,2026-02-27 01:18:35,1.16.0,159028.0,3313.0,29.0,94.0,,,-1.0,nickel-lang/nickel,,,,
5,NixOS-WSL,nix-community/NixOS-WSL,Modules for running NixOS on the Windows Subsystem for Linux.,nixos-modules,https://github.com/nix-community/NixOS-WSL,https://github.com/nix-community/NixOS-WSL,Apache-2.0,2019-12-07 22:29:47,2026-03-01 21:26:43,2026-03-01 17:37:12,731.0,38.0,151.0,25.0,668.0,36.0,216.0,2768,25,True,1,2026-03-01 15:30:53,2511.7.1,69834.0,1144.0,11.0,50.0,,,,,,,,
6,nix-installer,DeterminateSystems/nix-installer,Opinionated alternative to the official Nix install scripts.,installation-media,https://github.com/DeterminateSystems/nix-installer,https://github.com/DeterminateSystems/nix-installer,LGPL-2.1,2022-09-02 19:10:48,2026-03-01 20:22:35,2026-02-24 05:48:34,811.0,23.0,91.0,13.0,887.0,385.0,512.0,3456,24,True,1,2026-02-24 05:48:39,3.16.3,1067416.0,30497.0,100.0,35.0,3.0,3.0,,,,,,
7,install-nix-action,cachix/install-nix-action,Installs Nix on GitHub Actions for the supported platforms: Linux and macOS.,github-actions,https://github.com/cachix/install-nix-action,https://github.com/cachix/install-nix-action,Apache-2.0,2019-10-02 09:31:59,2026-02-14 22:49:31,2026-02-14 22:48:14,390.0,7.0,87.0,10.0,151.0,16.0,98.0,658,24,True,1,2026-02-14 22:49:31,31.9.1,,,52.0,34.0,36479.0,36479.0,,,,,,
8,haskell.nix,input-output-hk/haskell.nix,Alternative Haskell Infrastructure for Nixpkgs.,programming-languages,https://github.com/input-output-hk/haskell.nix,https://github.com/input-output-hk/haskell.nix,Apache-2.0,2018-04-20 16:00:09,2026-03-01 01:02:34,2026-03-01 01:02:34,4144.0,105.0,248.0,18.0,1503.0,165.0,808.0,621,24,True,1,2026-01-29 03:17:56,nix-tools-0.4.1,21388.0,891.0,16.0,164.0,,,,,['haskell'],,,
9,patchelf,NixOS/patchelf,A small utility to modify the dynamic linker and RPATH of ELF executables.,command-line-tools,https://github.com/NixOS/patchelf,https://github.com/NixOS/patchelf,GPL-3.0,2011-12-06 21:27:51,2025-12-15 01:02:35,2025-11-11 16:03:03,981.0,,504.0,75.0,341.0,114.0,175.0,4161,23,True,1,2025-08-13 03:38:12,0.15.5,9630050.0,143732.0,32.0,99.0,,,-1.0,,,,,
10,nixos-hardware,NixOS/nixos-hardware,A collection of NixOS modules covering hardware quirks.,nixos-modules,https://github.com/NixOS/nixos-hardware,https://github.com/NixOS/nixos-hardware,CC0-1.0,2016-02-08 10:50:14,2026-02-24 21:53:28,2026-02-24 21:39:55,2638.0,98.0,861.0,62.0,1361.0,178.0,233.0,2954,23,True,1,2021-05-29 08:24:13,mnt-reform2-nitrogen8m-v1,1606.0,27.0,2.0,523.0,,,,,,,,
11,NUR,nix-community/NUR,Nix User Repositories.,overlays,https://github.com/nix-community/NUR,https://github.com/nix-community/NUR,MIT,2018-02-28 18:49:50,2026-03-01 20:58:58,2026-03-01 20:55:28,39979.0,3144.0,472.0,15.0,955.0,30.0,100.0,1774,23,True,1,,,,,,591.0,,,,,,,,
