,name,github_id,description,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,projectrank,show,projectrank_placing,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,contributor_count,trending,dependent_project_count,github_dependent_project_count,updated_github_id,labels,new_addition,gitlab_id,gitlab_url
0,nixpkgs,NixOS/nixpkgs,Nix Packages collection & NixOS.,discovery,https://github.com/NixOS/nixpkgs,https://github.com/NixOS/nixpkgs,MIT,2012-06-04 02:49:46,2026-03-09 00:18:09,2026-03-09 00:12:57,960724.0,49607.0,17952.0,274.0,443113.0,8763.0,44772.0,23765,33,True,1,,,,,,,,,,,,,,
1,Devbox,jetify-com/devbox,"Instant, portable, and predictable development environments.",development,https://github.com/jetify-com/devbox,https://github.com/jetify-com/devbox,Apache-2.0,2022-08-18 20:27:16,2026-03-03 22:54:26,2026-03-03 22:19:55,1734.0,17.0,302.0,43.0,1959.0,393.0,434.0,11364,29,True,1,2026-03-04 00:04:42,0.17.0,1945231.0,72045.0,100.0,100.0,1.0,,,,,,,
2,Home Manager,nix-community/home-manager,Manage your user configuration just like NixOS.,nixos-modules,https://github.com/nix-community/home-manager,https://github.com/nix-community/home-manager,MIT,2017-01-14 12:11:06,2026-03-08 15:55:33,2026-03-08 15:54:45,6336.0,441.0,2299.0,50.0,5742.0,685.0,2391.0,9456,27,True,1,,,,,,1560.0,,,,,,,,
3,devenv,cachix/devenv,A Nix-based tool for creating developer shell environments quickly and reproducibly.,development,https://github.com/cachix/devenv,https://github.com/cachix/devenv,Apache-2.0,2022-10-22 20:10:10,2026-03-09 00:16:36,2026-03-09 00:16:35,5888.0,993.0,468.0,27.0,1257.0,320.0,998.0,6467,27,True,1,2026-03-06 17:44:16,2.0.3,,,45.0,262.0,,1.0,1.0,,,,,
4,nickel,tweag/nickel,Better configuration for less.,programming-languages,https://github.com/nickel-lang/nickel,https://github.com/nickel-lang/nickel,MIT,2019-01-08 21:43:11,2026-03-06 10:15:00,2026-03-06 10:08:47,5011.0,139.0,110.0,26.0,1733.0,138.0,559.0,2857,26,True,1,2026-02-27 01:18:35,1.16.0,159224.0,3317.0,29.0,95.0,,,,nickel-lang/nickel,,,,
5,NixOS-WSL,nix-community/NixOS-WSL,Modules for running NixOS on the Windows Subsystem for Linux.,nixos-modules,https://github.com/nix-community/NixOS-WSL,https://github.com/nix-community/NixOS-WSL,Apache-2.0,2019-12-07 22:29:47,2026-03-07 22:07:57,2026-03-01 17:37:12,731.0,35.0,152.0,25.0,673.0,36.0,216.0,2791,25,True,1,2026-03-01 15:30:53,2511.7.1,70174.0,1150.0,11.0,50.0,,,,,,,,
6,nix-installer,DeterminateSystems/nix-installer,Opinionated alternative to the official Nix install scripts.,installation-media,https://github.com/DeterminateSystems/nix-installer,https://github.com/DeterminateSystems/nix-installer,LGPL-2.1,2022-09-02 19:10:48,2026-03-08 00:04:14,2026-03-05 00:49:23,814.0,26.0,91.0,13.0,889.0,383.0,518.0,3467,24,True,1,2026-03-05 00:49:32,3.17.0,1085584.0,31928.0,100.0,35.0,,3.0,3.0,,,,,
7,install-nix-action,cachix/install-nix-action,Installs Nix on GitHub Actions for the supported platforms: Linux and macOS.,github-actions,https://github.com/cachix/install-nix-action,https://github.com/cachix/install-nix-action,Apache-2.0,2019-10-02 09:31:59,2026-03-04 11:26:29,2026-03-03 12:16:45,392.0,9.0,87.0,10.0,152.0,17.0,98.0,660,24,True,1,2026-03-03 12:19:33,31.10.0,,,53.0,34.0,,36585.0,36585.0,,,,,
8,haskell.nix,input-output-hk/haskell.nix,Alternative Haskell Infrastructure for Nixpkgs.,programming-languages,https://github.com/input-output-hk/haskell.nix,https://github.com/input-output-hk/haskell.nix,Apache-2.0,2018-04-20 16:00:09,2026-03-08 00:57:26,2026-03-08 00:57:26,4151.0,102.0,248.0,18.0,1504.0,164.0,809.0,620,24,True,1,2026-01-29 03:17:56,nix-tools-0.4.1,21851.0,910.0,16.0,164.0,,,,,['haskell'],,,
9,patchelf,NixOS/patchelf,A small utility to modify the dynamic linker and RPATH of ELF executables.,command-line-tools,https://github.com/NixOS/patchelf,https://github.com/NixOS/patchelf,GPL-3.0,2011-12-06 21:27:51,2025-12-15 01:02:35,2025-11-11 16:03:03,981.0,,504.0,75.0,341.0,114.0,175.0,4161,23,True,1,2025-08-13 03:38:12,0.15.5,9729435.0,145215.0,32.0,99.0,,,,,,,,
10,nixos-hardware,NixOS/nixos-hardware,A collection of NixOS modules covering hardware quirks.,nixos-modules,https://github.com/NixOS/nixos-hardware,https://github.com/NixOS/nixos-hardware,CC0-1.0,2016-02-08 10:50:14,2026-03-08 12:38:36,2026-03-08 12:23:50,2640.0,100.0,867.0,62.0,1367.0,180.0,234.0,2967,23,True,1,2021-05-29 08:24:13,mnt-reform2-nitrogen8m-v1,1611.0,27.0,2.0,524.0,,,,,,,,
11,NUR,nix-community/NUR,Nix User Repositories.,overlays,https://github.com/nix-community/NUR,https://github.com/nix-community/NUR,MIT,2018-02-28 18:49:50,2026-03-08 22:35:50,2026-03-08 22:32:23,40257.0,3191.0,473.0,15.0,958.0,30.0,101.0,1780,23,True,1,,,,,,592.0,,,,,,,,
12,nixfmt,NixOS/nixfmt,"A formatter for Nix code, intended to easily apply a uniform style.",command-line-tools,https://github.com/NixOS/nixfmt,https://github.com/NixOS/nixfmt,MPL-2.0,2018-08-02 12:33:51,2026-03-06 14:27:45,2026-03-03 19:20:23,633.0,12.0,65.0,28.0,180.0,24.0,168.0,1448,23,True,1,2026-01-09 09:50:43,1.2.0,12649.0,158.0,10.0,38.0,,,,,,,,
13,nvf,notashelf/nvf,"Highly modular, configurable, extensible and easy to use Neovim configuration in Nix.",editors-and-ides,https://github.com/NotAShelf/nvf,https://github.com/NotAShelf/nvf,MIT,2023-02-01 17:13:58,2026-03-08 02:04:55,2026-03-07 09:19:03,2985.0,243.0,201.0,5.0,883.0,99.0,324.0,1399,23,True,1,2025-12-12 12:21:36,0.8,,,7.0,135.0,,,,,,,,
14,treefmt,numtide/treefmt,"One CLI to format the code tree, using formatters such as alejandra, prettier, etc.",command-line-tools,https://github.com/numtide/treefmt,https://github.com/numtide/treefmt,MIT,2020-12-18 10:30:54,2026-03-08 17:04:41,2026-02-23 16:18:51,810.0,18.0,49.0,12.0,444.0,57.0,160.0,941,23,True,1,2026-02-27 08:45:33,2.4.1,89619.0,1545.0,30.0,22.0,,8.0,8.0,,,,,
15,crate2nix,nix-community/crate2nix,rebuild only changed crates in CI with crate2nix and nix.,programming-languages,https://github.com/nix-community/crate2nix,https://github.com/nix-community/crate2nix,Apache-2.0,2019-03-24 22:00:59,2026-03-04 13:38:43,2026-02-09 14:20:48,1430.0,61.0,104.0,9.0,226.0,98.0,120.0,480,23,True,1,2026-01-28 19:11:01,0.15.0,,,19.0,58.0,,51.0,51.0,,['rust'],,,
16,nix-darwin,nix-darwin/nix-darwin,Manage macOS configuration just like on NixOS.,nixos-modules,https://github.com/nix-darwin/nix-darwin,https://github.com/nix-darwin/nix-darwin,MIT,2016-10-16 14:26:46,2026-03-08 20:23:39,2026-03-08 20:03:47,2339.0,50.0,591.0,30.0,913.0,286.0,521.0,5162,22,True,1,,,,,,279.0,,,,,,,,
17,flox,flox/flox,"Manage and share development environments, package projects, and publish artifacts anywhere.",development,https://github.com/flox/flox,https://github.com/flox/flox,GPL-2.0,2022-12-22 15:52:43,2026-03-07 03:43:18,2026-03-06 20:48:24,4743.0,606.0,110.0,19.0,2383.0,369.0,1302.0,3818,22,True,1,2026-02-24 20:54:40,1.9.1,20.0,0.0,62.0,54.0,,,,,,,,
18,NixVim,nix-community/nixvim,A NeoVim distribution built with Nix modules and Nixpkgs.,editors-and-ides,https://github.com/nix-community/nixvim,https://github.com/nix-community/nixvim,MIT,2020-12-30 01:08:04,2026-03-08 12:22:34,2026-03-01 21:57:38,4395.0,194.0,371.0,12.0,3065.0,151.0,772.0,2693,22,True,1,,,,,,278.0,,,,,,,,
19,nix-direnv,nix-community/nix-direnv,A fast loader and flake-compliant configuration for the direnv environment auto-loader.,development,https://github.com/nix-community/nix-direnv,https://github.com/nix-community/nix-direnv,MIT,2019-09-27 07:43:47,2026-03-08 03:05:02,2026-03-08 03:01:14,1137.0,88.0,140.0,15.0,477.0,6.0,219.0,2576,22,True,1,2026-02-08 20:52:15,3.1.0,,,39.0,84.0,,,,,,,,
