,name,github_id,description,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,projectrank,show,projectrank_placing,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,contributor_count,dependent_project_count,github_dependent_project_count,updated_github_id,trending,labels,gitlab_id,gitlab_url
0,nixpkgs,NixOS/nixpkgs,Nix Packages collection & NixOS.,discovery,https://github.com/NixOS/nixpkgs,https://github.com/NixOS/nixpkgs,MIT,2012-06-04 02:49:46,2026-03-23 00:23:45,2026-03-23 00:18:06,968103.0,49906.0,18122.0,276.0,447100.0,8763.0,45058.0,23997,33,True,1,,,,,,,,,,,,,
1,Devbox,jetify-com/devbox,"Instant, portable, and predictable development environments.",development,https://github.com/jetify-com/devbox,https://github.com/jetify-com/devbox,Apache-2.0,2022-08-18 20:27:16,2026-03-22 19:40:53,2026-03-03 22:19:55,1734.0,16.0,306.0,43.0,1962.0,396.0,434.0,11417,29,True,1,2026-03-04 00:04:42,0.17.0,1989918.0,73700.0,100.0,100.0,,,,,,,
2,Home Manager,nix-community/home-manager,Manage your user configuration just like NixOS.,nixos-modules,https://github.com/nix-community/home-manager,https://github.com/nix-community/home-manager,MIT,2017-01-14 12:11:06,2026-03-22 20:09:42,2026-03-22 20:08:53,6394.0,464.0,2308.0,50.0,5806.0,689.0,2399.0,9505,27,True,1,,,,,,1569.0,,,,,,,
3,devenv,cachix/devenv,A Nix-based tool for creating developer shell environments quickly and reproducibly.,development,https://github.com/cachix/devenv,https://github.com/cachix/devenv,Apache-2.0,2022-10-22 20:10:10,2026-03-22 14:39:57,2026-03-22 14:39:57,6122.0,1128.0,477.0,27.0,1282.0,317.0,1046.0,6568,27,True,1,2026-03-22 08:42:56,2.0.6,,,48.0,268.0,1.0,1.0,,,,,
4,nickel,tweag/nickel,Better configuration for less.,programming-languages,https://github.com/nickel-lang/nickel,https://github.com/nickel-lang/nickel,MIT,2019-01-08 21:43:11,2026-03-21 09:35:19,2026-03-14 16:19:29,5019.0,93.0,113.0,26.0,1742.0,140.0,559.0,2871,26,True,1,2026-02-27 01:18:35,1.16.0,159687.0,3326.0,29.0,95.0,,,nickel-lang/nickel,,,,
5,NixOS-WSL,nix-community/NixOS-WSL,Modules for running NixOS on the Windows Subsystem for Linux.,nixos-modules,https://github.com/nix-community/NixOS-WSL,https://github.com/nix-community/NixOS-WSL,Apache-2.0,2019-12-07 22:29:47,2026-03-19 01:10:47,2026-03-19 01:10:47,750.0,43.0,152.0,25.0,685.0,33.0,222.0,2814,26,True,1,2026-03-01 15:30:53,2511.7.1,70566.0,1156.0,11.0,52.0,,,,1.0,,,
6,install-nix-action,cachix/install-nix-action,Installs Nix on GitHub Actions for the supported platforms: Linux and macOS.,github-actions,https://github.com/cachix/install-nix-action,https://github.com/cachix/install-nix-action,Apache-2.0,2019-10-02 09:31:59,2026-03-22 14:59:08,2026-03-22 14:58:34,398.0,10.0,86.0,10.0,154.0,16.0,99.0,663,25,True,1,2026-03-10 17:56:45,31.10.1,,,54.0,34.0,36836.0,36836.0,,1.0,,,
7,nix-installer,DeterminateSystems/nix-installer,Opinionated alternative to the official Nix install scripts.,installation-media,https://github.com/DeterminateSystems/nix-installer,https://github.com/DeterminateSystems/nix-installer,LGPL-2.1,2022-09-02 19:10:48,2026-03-22 00:05:27,2026-03-20 01:38:45,815.0,22.0,93.0,13.0,894.0,385.0,520.0,3483,24,True,1,2026-03-05 00:49:32,3.17.0,1117717.0,32874.0,100.0,35.0,3.0,3.0,,,,,
8,haskell.nix,input-output-hk/haskell.nix,Alternative Haskell Infrastructure for Nixpkgs.,programming-languages,https://github.com/input-output-hk/haskell.nix,https://github.com/input-output-hk/haskell.nix,Apache-2.0,2018-04-20 16:00:09,2026-03-22 00:59:45,2026-03-22 00:59:44,4168.0,103.0,248.0,18.0,1505.0,163.0,810.0,622,24,True,1,2026-01-29 03:17:56,nix-tools-0.4.1,22705.0,946.0,16.0,164.0,,,,,['haskell'],,
9,patchelf,NixOS/patchelf,A small utility to modify the dynamic linker and RPATH of ELF executables.,command-line-tools,https://github.com/NixOS/patchelf,https://github.com/NixOS/patchelf,GPL-3.0,2011-12-06 21:27:51,2025-12-15 01:02:35,2025-11-11 16:03:03,981.0,,506.0,75.0,341.0,114.0,175.0,4169,23,True,1,2025-08-13 03:38:12,0.15.5,9872335.0,147348.0,32.0,99.0,,,,,,,
