,name,github_id,description,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,projectrank,show,projectrank_placing,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,contributor_count,dependent_project_count,github_dependent_project_count,updated_github_id,labels,trending,gitlab_id,gitlab_url
0,nixpkgs,NixOS/nixpkgs,Nix Packages collection & NixOS.,discovery,https://github.com/NixOS/nixpkgs,https://github.com/NixOS/nixpkgs,MIT,2012-06-04 02:49:46,2026-04-06 00:24:58,2026-04-06 00:19:57,975541.0,50724.0,18239.0,277.0,451340.0,8848.0,45494.0,24164,33,True,1,,,,,,,,,,,,,
1,Devbox,jetify-com/devbox,"Instant, portable, and predictable development environments.",development,https://github.com/jetify-com/devbox,https://github.com/jetify-com/devbox,Apache-2.0,2022-08-18 20:27:16,2026-04-03 04:31:11,2026-03-31 18:20:12,1743.0,25.0,308.0,43.0,1973.0,395.0,436.0,11446,29,True,1,2026-03-31 20:27:14,0.17.1,2054774.0,73384.0,100.0,102.0,,,,,,,
2,Home Manager,nix-community/home-manager,Manage your user configuration just like NixOS.,nixos-modules,https://github.com/nix-community/home-manager,https://github.com/nix-community/home-manager,MIT,2017-01-14 12:11:06,2026-04-05 22:15:33,2026-04-05 22:15:30,6460.0,459.0,2314.0,50.0,5880.0,699.0,2411.0,9591,27,True,1,,,,,,1584.0,,,,,,,
3,devenv,cachix/devenv,A Nix-based tool for creating developer shell environments quickly and reproducibly.,development,https://github.com/cachix/devenv,https://github.com/cachix/devenv,Apache-2.0,2022-10-22 20:10:10,2026-04-04 20:20:25,2026-04-04 20:20:24,6216.0,1094.0,481.0,26.0,1305.0,296.0,1093.0,6628,27,True,1,2026-03-22 08:42:56,2.0.6,,,48.0,273.0,1.0,1.0,,,,,
4,nickel,tweag/nickel,Better configuration for less.,programming-languages,https://github.com/nickel-lang/nickel,https://github.com/nickel-lang/nickel,MIT,2019-01-08 21:43:11,2026-04-03 00:03:44,2026-03-25 10:55:00,5022.0,92.0,111.0,26.0,1745.0,139.0,560.0,2879,26,True,1,2026-02-27 01:18:35,1.16.0,159900.0,3263.0,29.0,95.0,,,nickel-lang/nickel,,,,
5,NixOS-WSL,nix-community/NixOS-WSL,Modules for running NixOS on the Windows Subsystem for Linux.,nixos-modules,https://github.com/nix-community/NixOS-WSL,https://github.com/nix-community/NixOS-WSL,Apache-2.0,2019-12-07 22:29:47,2026-03-31 16:01:39,2026-03-31 15:59:12,751.0,44.0,152.0,25.0,690.0,33.0,223.0,2833,26,True,1,2026-03-01 15:30:53,2511.7.1,71466.0,1152.0,11.0,52.0,,,,,,,
6,install-nix-action,cachix/install-nix-action,Installs Nix on GitHub Actions for the supported platforms: Linux and macOS.,github-actions,https://github.com/cachix/install-nix-action,https://github.com/cachix/install-nix-action,Apache-2.0,2019-10-02 09:31:59,2026-03-27 23:18:12,2026-03-27 02:20:46,400.0,12.0,85.0,10.0,155.0,16.0,100.0,668,25,True,1,2026-03-27 02:21:58,31.10.3,,,56.0,34.0,37064.0,37064.0,,,,,
7,nix-installer,DeterminateSystems/nix-installer,Opinionated alternative to the official Nix install scripts.,installation-media,https://github.com/DeterminateSystems/nix-installer,https://github.com/DeterminateSystems/nix-installer,LGPL-2.1,2022-09-02 19:10:48,2026-04-05 00:07:38,2026-03-28 17:54:44,816.0,22.0,94.0,13.0,896.0,390.0,521.0,3507,24,True,1,2026-03-28 17:54:56,3.17.2,1177341.0,34627.0,100.0,35.0,3.0,3.0,,,,,
8,haskell.nix,input-output-hk/haskell.nix,Alternative Haskell Infrastructure for Nixpkgs.,programming-languages,https://github.com/input-output-hk/haskell.nix,https://github.com/input-output-hk/haskell.nix,Apache-2.0,2018-04-20 16:00:09,2026-04-05 01:05:28,2026-04-05 01:05:27,4183.0,101.0,249.0,18.0,1512.0,163.0,811.0,623,24,True,1,2026-03-23 21:58:06,nix-tools-0.4.2,24338.0,973.0,17.0,164.0,,,,['haskell'],,,
9,patchelf,NixOS/patchelf,A small utility to modify the dynamic linker and RPATH of ELF executables.,command-line-tools,https://github.com/NixOS/patchelf,https://github.com/NixOS/patchelf,GPL-3.0,2011-12-06 21:27:51,2025-12-15 01:02:35,2025-11-11 16:03:03,981.0,,504.0,74.0,341.0,114.0,175.0,4176,23,True,1,2025-08-13 03:38:12,0.15.5,10093023.0,148426.0,32.0,99.0,,,,,,,
