,name,github_id,description,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,projectrank,show,projectrank_placing,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,contributor_count,dependent_project_count,github_dependent_project_count,updated_github_id,trending,gitlab_id,gitlab_url
0,nixpkgs,NixOS/nixpkgs,Nix Packages collection & NixOS.,discovery,https://github.com/NixOS/nixpkgs,https://github.com/NixOS/nixpkgs,MIT,2012-06-04 02:49:46,2026-06-15 00:36:40,2026-06-15 00:12:03,1016875.0,50070.0,18961.0,274.0,473809.0,9278.0,47070.0,25099.0,33,True,1.0,,,,,,,,,,,,
1,Devbox,jetify-com/devbox,"Instant, portable, and predictable development environments.",development,https://github.com/jetify-com/devbox,https://github.com/jetify-com/devbox,Apache-2.0,2022-08-18 20:27:16,2026-06-14 14:38:31,2026-06-09 22:31:42,1757.0,23.0,338.0,41.0,2018.0,401.0,443.0,12047.0,29,True,1.0,2026-06-07 19:33:53,0.17.3,2519582.0,86882.0,100.0,103.0,,,,,,
2,Home Manager,nix-community/home-manager,Manage your user configuration just like NixOS.,nixos-modules,https://github.com/nix-community/home-manager,https://github.com/nix-community/home-manager,MIT,2017-01-14 12:11:06,2026-06-14 22:58:53,2026-06-14 22:58:52,6889.0,531.0,2386.0,51.0,6214.0,685.0,2522.0,9949.0,27,True,1.0,,,,,,1660.0,,,,,,
3,devenv,cachix/devenv,A Nix-based tool for creating developer shell environments quickly and reproducibly.,development,https://github.com/cachix/devenv,https://github.com/cachix/devenv,Apache-2.0,2022-10-22 20:10:10,2026-06-14 16:56:31,2026-06-14 16:56:31,6748.0,716.0,495.0,26.0,1413.0,306.0,1204.0,6997.0,27,True,1.0,2026-05-13 20:58:16,2.1.2,,,51.0,291.0,1.0,1.0,,,,
4,llm-agents.nix,numtide/llm-agents.nix,Nix packages for AI coding agents and development tools. Automatically updated daily.,ai-tooling,https://github.com/numtide/llm-agents.nix,https://github.com/numtide/llm-agents.nix,MIT,2025-07-18 10:29:06,2026-06-14 21:42:00,2026-06-14 21:38:24,10990.0,5213.0,157.0,5.0,5675.0,1.0,185.0,1417.0,27,True,1.0,2025-10-28 07:09:55,assets,9072.0,1134.0,1.0,105.0,,,,,,
5,nickel,tweag/nickel,Better configuration for less.,programming-languages,https://github.com/nickel-lang/nickel,https://github.com/nickel-lang/nickel,MIT,2019-01-08 21:43:11,2026-06-14 01:04:46,2026-05-23 21:53:42,5094.0,65.0,114.0,26.0,1765.0,140.0,563.0,2931.0,26,True,1.0,2026-06-09 21:14:46,1.17.0,163486.0,3205.0,30.0,96.0,,,nickel-lang/nickel,,,
6,NixOS-WSL,nix-community/NixOS-WSL,Modules for running NixOS on the Windows Subsystem for Linux.,nixos-modules,https://github.com/nix-community/NixOS-WSL,https://github.com/nix-community/NixOS-WSL,Apache-2.0,2019-12-07 22:29:47,2026-06-11 13:02:55,2026-06-11 12:51:19,784.0,38.0,157.0,27.0,728.0,35.0,229.0,2962.0,25,True,1.0,2026-06-06 15:16:20,2605.7.2,77296.0,1207.0,12.0,59.0,,,,-1.0,,
7,install-nix-action,cachix/install-nix-action,Installs Nix on GitHub Actions for the supported platforms: Linux and macOS.,github-actions,https://github.com/cachix/install-nix-action,https://github.com/cachix/install-nix-action,Apache-2.0,2019-10-02 09:31:59,2026-05-04 22:32:37,2026-05-04 22:20:48,406.0,12.0,85.0,10.0,158.0,16.0,100.0,684.0,25,True,1.0,2026-05-04 22:31:36,31.10.6,,,59.0,34.0,38220.0,38220.0,,,,
8,haskell.nix,input-output-hk/haskell.nix,Alternative Haskell Infrastructure for Nixpkgs.,programming-languages,https://github.com/input-output-hk/haskell.nix,https://github.com/input-output-hk/haskell.nix,Apache-2.0,2018-04-20 16:00:09,2026-06-14 01:36:05,2026-06-14 01:36:04,4280.0,120.0,253.0,17.0,1539.0,160.0,817.0,627.0,25,True,1.0,2026-05-03 23:52:19,nix-tools-0.4.3,32462.0,1202.0,18.0,165.0,,,,,,
9,nix-installer,DeterminateSystems/nix-installer,Opinionated alternative to the official Nix install scripts.,installation-media,https://github.com/DeterminateSystems/nix-installer,https://github.com/DeterminateSystems/nix-installer,LGPL-2.1,2022-09-02 19:10:48,2026-06-14 00:25:06,2026-06-08 18:28:57,826.0,12.0,96.0,13.0,911.0,401.0,524.0,3611.0,24,True,1.0,2026-06-08 18:29:05,3.21.1,988963.0,34102.0,100.0,36.0,3.0,3.0,,,,
10,nixfmt,NixOS/nixfmt,"A formatter for Nix code, intended to easily apply a uniform style.",command-line-tools,https://github.com/NixOS/nixfmt,https://github.com/NixOS/nixfmt,MPL-2.0,2018-08-02 12:33:51,2026-06-12 21:18:50,2026-06-12 21:18:49,730.0,95.0,76.0,29.0,215.0,24.0,176.0,1530.0,24,True,1.0,2026-06-01 00:29:49,1.3.1,19362.0,233.0,12.0,48.0,,,,,,
11,treefmt,numtide/treefmt,"One CLI to format the code tree, using formatters such as alejandra, prettier, etc.",command-line-tools,https://github.com/numtide/treefmt,https://github.com/numtide/treefmt,MIT,2020-12-18 10:30:54,2026-06-12 08:16:13,2026-06-12 08:16:10,860.0,48.0,53.0,12.0,466.0,59.0,169.0,1015.0,24,True,1.0,2026-04-07 20:05:42,2.5.0,136104.0,2231.0,31.0,24.0,8.0,8.0,,1.0,,
12,patchelf,NixOS/patchelf,A small utility to modify the dynamic linker and RPATH of ELF executables.,command-line-tools,https://github.com/NixOS/patchelf,https://github.com/NixOS/patchelf,GPL-3.0,2011-12-06 21:27:51,2025-12-15 01:02:35,2025-11-11 16:03:03,981.0,,513.0,74.0,346.0,116.0,175.0,4208.0,23,True,1.0,2025-08-13 03:38:12,0.15.5,11233360.0,160476.0,32.0,99.0,,,,,,
13,nixos-hardware,NixOS/nixos-hardware,A collection of NixOS modules covering hardware quirks.,nixos-modules,https://github.com/NixOS/nixos-hardware,https://github.com/NixOS/nixos-hardware,CC0-1.0,2016-02-08 10:50:14,2026-06-11 09:16:49,2026-06-11 09:02:37,2785.0,114.0,924.0,60.0,1472.0,190.0,245.0,3158.0,23,True,1.0,2021-05-29 08:24:13,mnt-reform2-nitrogen8m-v1,1711.0,28.0,2.0,548.0,,,,,,
14,NUR,nix-community/NUR,Nix User Repositories.,overlays,https://github.com/nix-community/NUR,https://github.com/nix-community/NUR,MIT,2018-02-28 18:49:50,2026-06-14 21:58:30,2026-06-14 21:58:03,44162.0,3535.0,500.0,15.0,1009.0,33.0,103.0,1867.0,23,True,1.0,,,,,,624.0,,,,,,
15,nvf,notashelf/nvf,"Highly modular, configurable, extensible and easy to use Neovim configuration in Nix.",editors-and-ides,https://github.com/NotAShelf/nvf,https://github.com/NotAShelf/nvf,MIT,2023-02-01 17:13:58,2026-06-14 20:59:00,2026-06-14 20:28:44,3435.0,425.0,223.0,7.0,1020.0,99.0,383.0,1529.0,23,True,1.0,2025-12-12 12:21:36,0.8,,,7.0,153.0,,,,,,
