,name,github_id,description,category,homepage,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,gitlab_id,gitlab_url,created_at,fork_count,open_issue_count,closed_issue_count,star_count,release_count,updated_at,trending
0,install-nix-action,cachix/install-nix-action,Installs Nix on GitHub Actions for the supported platforms: Linux and macOS.,github-actions,{},39376.0,39376.0,34.0,8,False,1.0,,,,,,,,,,
1,magic-nix-cache-action,DeterminateSystems/magic-nix-cache-action,"Save 30-50%+ of CI time without any effort or cost. Use Magic Nix Cache, a totally free and zero-configuration binary..",github-actions,{},6491.0,6491.0,14.0,6,False,2.0,,,,,,,,,,
2,nix-installer-action,DeterminateSystems/nix-installer-action,"The fast, friendly, and reliable GitHub Action to install Nix with Flakes.",github-actions,{},9575.0,9575.0,17.0,6,False,2.0,,,,,,,,,,
3,update-flake-lock,DeterminateSystems/update-flake-lock,This is a GitHub Action that updates the flake.lock file for your Nix flake whenever it is run.,github-actions,{},3780.0,3780.0,30.0,6,False,2.0,,,,,,,,,,
4,flake-checker-action,DeterminateSystems/flake-checker-action,A GitHub Action that performs health checks for your Nix flake.lock files.,github-actions,{},1763.0,1763.0,5.0,5,False,3.0,,,,,,,,,,
5,nixpkgs-fmt,nix-community/nixpkgs-fmt,Nix code formatter for nixpkgs.,command-line-tools,{},151.0,151.0,29.0,4,False,1.0,,,,,,,,,,
6,crate2nix,nix-community/crate2nix,rebuild only changed crates in CI with crate2nix and nix.,programming-languages,{},51.0,51.0,60.0,4,False,1.0,,,,,,,,,,
7,Nixtest,,"Testing framework for Nix, with snapshot and unit test support, JUnit generation etc.",development,https://gitlab.com/TECHNOFAB/nixtest,,,,3,False,1.0,TECHNOFAB/nixtest,https://gitlab.com/TECHNOFAB/nixtest,2025-05-03 20:09:22,0.0,1.0,9.0,4.0,5.0,2025-05-03 20:09:22,
8,awesome-nix,nix-community/awesome-nix,A curated list of the best resources in the Nix community.,learning,{},10.0,10.0,130.0,3,False,1.0,,,,,,,,,,
9,KuberNix,saschagrunert/kubernix,Single-dependency Kubernetes clusters via Nix packages.,deployment-tools,{},51.0,51.0,8.0,3,False,1.0,,,,,,,,,,
10,alejandra,kamadorueda/alejandra,An opinionated Nix code formatter optimized for speed and consistency.,command-line-tools,{},13.0,13.0,29.0,3,False,1.0,,,,,,,,,,
11,lix,lix-project/lix,"A modern, delicious implementation of the Nix package manager, focused on correctness, usability, and growth.",command-line-tools,{},4.0,4.0,711.0,3,False,1.0,,,,,,,,,,
12,nix-index,nix-community/nix-index,Quickly locate Nix packages with specific files.,command-line-tools,{},29.0,29.0,40.0,3,False,1.0,,,,,,,,,,
13,harmonia,nix-community/harmonia,Nix binary cache implemented in Rust.,development,{},11.0,11.0,32.0,3,False,1.0,,,,,,,,,,
14,rnix-lsp,nix-community/rnix-lsp,A syntax-checking language server for Nix.,development,{},36.0,36.0,24.0,3,False,1.0,,,,,,,,,,
15,tree-sitter-nix,nix-community/tree-sitter-nix,Nix grammar for tree-sitter.,development,{},22.0,22.0,23.0,3,False,1.0,,,,,,,,,,
16,gomod2nix,nix-community/gomod2nix,Convert applications using Go modules to Nix expressions.,programming-languages,{},14.0,14.0,29.0,3,False,1.0,,,,,,,,,,
17,Home Manager,nix-community/home-manager,Manage your user configuration just like NixOS.,nixos-modules,{},,,1706.0,3,False,1.0,,,,,,,,,,
18,nix.dev,NixOS/nix.dev,Official documentation for getting things done with Nix.,learning,{},,,205.0,2,False,2.0,,,,,,,,,,
19,nix-installer,DeterminateSystems/nix-installer,Opinionated alternative to the official Nix install scripts.,installation-media,{},3.0,3.0,36.0,2,False,1.0,,,,,,,,,,
20,NixOps,NixOS/nixops,"The official Nix deployment tool, compatible with AWS, Hetzner, and more.",deployment-tools,{},,,159.0,2,False,1.0,,,,,,,,,,
21,nix-snapshotter,pdtpartners/nix-snapshotter,Brings native understanding of Nix packages to containerd.,virtualisation,{},24.0,24.0,12.0,2,False,1.0,,,,,,,,,,
22,dix,bloxx12/dix,A blazingly fast tool to diff Nix related things.,command-line-tools,{},19.0,19.0,10.0,2,False,2.0,,,,,,,,,,
23,nurl,nix-community/nurl,Generate Nix fetcher calls from repository URLs.,command-line-tools,{},16.0,16.0,4.0,2,False,2.0,,,,,,,,,,
24,treefmt,numtide/treefmt,"One CLI to format the code tree, using formatters such as alejandra, prettier, etc.",command-line-tools,{},8.0,8.0,24.0,2,False,2.0,,,,,,,,,,
25,devenv,cachix/devenv,A Nix-based tool for creating developer shell environments quickly and reproducibly.,development,{},1.0,1.0,305.0,2,False,1.0,,,,,,,,,,-25.0
26,git-hooks.nix,cachix/git-hooks.nix,Seamless integration of git hooks with Nix.,development,{},,,170.0,2,False,1.0,,,,,,,,,,
27,nix-super,privatevoid-net/nix-super,A fork of the Nix package manager.,development,{},,,910.0,2,False,1.0,,,,,,,,,,
28,haskell.nix,input-output-hk/haskell.nix,Alternative Haskell Infrastructure for Nixpkgs.,programming-languages,{},,,167.0,2,False,1.0,,,,,,,,,,
29,mach-nix,DavHau/mach-nix,Create highly reproducible python environments.,programming-languages,{},3.0,3.0,47.0,2,False,1.0,,,,,,,,,,
30,poetry2nix,nix-community/poetry2nix,Build Python packages directly from Poetrys `poetry.lock` files.,programming-languages,{},,,334.0,2,False,1.0,,,,,,,,,,
31,nix-darwin,nix-darwin/nix-darwin,Manage macOS configuration just like on NixOS.,nixos-modules,{},,,286.0,2,False,1.0,,,,,,,,,,
32,nixos-hardware,NixOS/nixos-hardware,A collection of NixOS modules covering hardware quirks.,nixos-modules,{},,,555.0,2,False,1.0,,,,,,,,,,
33,Stylix,nix-community/stylix,System-wide colorscheming and typography for NixOS.,theming,{},,,214.0,2,False,1.0,,,,,,,,,,
34,NUR,nix-community/NUR,Nix User Repositories.,overlays,{},,,655.0,2,False,1.0,,,,,,,,,,
35,vulnix,nix-community/vulnix,Vulnerability (CVE) scanner for Nix/NixOS.,security,{},3.0,3.0,28.0,2,False,1.0,,,,,,,,,,
36,NixVim,nix-community/nixvim,A NeoVim distribution built with Nix modules and Nixpkgs.,editors-and-ides,{},,,299.0,2,False,1.0,,,,,,,,,,
37,nvf,notashelf/nvf,"Highly modular, configurable, extensible and easy to use Neovim configuration in Nix.",editors-and-ides,{},,,158.0,2,False,1.0,,,,,,,,,,
38,Nixlets,,"Like Helm but using only Nix, uses Kubenix under the hood.",deployment-tools,https://gitlab.com/TECHNOFAB/nixlets,,,,1,False,2.0,TECHNOFAB/nixlets,https://gitlab.com/TECHNOFAB/nixlets,2024-03-06 10:17:25,0.0,1.0,2.0,4.0,0.0,2024-03-06 10:17:25,
39,dev-templates,the-nix-way/dev-templates,Dev environments for numerous languages based on Nix flakes.,learning,{},,,40.0,1,False,2.0,,,,,,,,,,
40,nix-pills,NixOS/nix-pills,Guided introduction to Nix fundamentals from basic concepts to advanced use cases.,learning,{},,,116.0,1,False,2.0,,,,,,,,,,
41,NixOS & Flakes Book,ryan4yin/nixos-and-flakes-book,An unofficial and opinionated NixOS & Flakes book for beginners.,learning,{},,,90.0,1,False,2.0,,,,,,,,,,
42,RFCs,NixOS/rfcs,The Nix community RFCs.,learning,{},,,40.0,1,False,2.0,,,,,,,,,,
43,Zero to Nix,DeterminateSystems/zero-to-nix,"A beginners guide to Nix, providing step-by-step tutorials and explanations.",learning,{},,,56.0,1,False,2.0,,,,,,,,,,
44,lf-doc,lf-/nix-doc,An interactive Nix documentation tool providing CLI for function search.,discovery,{},5.0,5.0,3.0,1,False,1.0,,,,,,,,,,
45,NixOS Search,NixOS/nixos-search,Search NixOS packages and options.,discovery,{},,,133.0,1,False,1.0,,,,,,,,,,
